topology_id,source,regulator_count,qc_tier,n_trained_perms,best_perm_by_r2,circuit_r2_at_A,best_perm_by_max_circuit,max_circuit_at_B,best_design_toxicity_at_B,best_design_assignment,best_design_part_names,best_perm_by_top5_mean,top5_mean_at_C,agreement_AB,agreement_AC,agreement_BC,agreement_ABC,per_perm_compact
deab6c1f,"['0x2B', '0x4D', '0x71']",4,A1,2,0,0.9194656455162004,1,153.27261352539062,0.7206032872200012,"[4, 19, 14, 11]","[""BM3R1/B2"", ""SrpR/S4"", ""QacR/Q1"", ""PhlF/P2""]",1,123.1607879638672,False,False,True,False,"[{""perm"": 0, ""r2"": 0.9195, ""maxc"": 78.3224, ""topK"": 67.7228}, {""perm"": 1, ""r2"": 0.907, ""maxc"": 153.2726, ""topK"": 123.1608}]"
ea89a821,"['0x2B', '0x4D', '0x71']",4,A2,1,0,0.8147227873352525,0,56.149009704589844,0.4607956111431122,"[2, 14, 7, 12]","[""BetI/E1"", ""QacR/Q1"", ""IcaRA/I1"", ""PhlF/P3""]",0,52.56433639526367,True,True,True,True,"[{""perm"": 0, ""r2"": 0.8147, ""maxc"": 56.149, ""topK"": 52.5643}]"
e4c14f22,"['0x2B', '0x4D', '0x71']",5,A1,1,0,0.9308204249840102,0,131.89598083496094,0.7018843293190002,"[14, 19, 11, 1, 2]","[""QacR/Q1"", ""SrpR/S4"", ""PhlF/P2"", ""AmtR/A1"", ""BetI/E1""]",0,123.5325942993164,True,True,True,True,"[{""perm"": 0, ""r2"": 0.9308, ""maxc"": 131.896, ""topK"": 123.5326}]"
1df1418f,"['0x2B', '0x4D']",6,A1,1,1,0.9463759737821028,1,171.09815979003906,0.5877062082290649,"[1, 14, 4, 19, 13, 11]","[""AmtR/A1"", ""QacR/Q1"", ""BM3R1/B2"", ""SrpR/S4"", ""PsrA/R1"", ""PhlF/P2""]",1,154.32413635253906,True,True,True,True,"[{""perm"": 1, ""r2"": 0.9464, ""maxc"": 171.0982, ""topK"": 154.3241}]"
1e873b88,0x2B,6,A1,1,0,0.953709779182103,0,106.58386993408203,0.42619040608406067,"[1, 14, 19, 7, 13, 11]","[""AmtR/A1"", ""QacR/Q1"", ""SrpR/S4"", ""IcaRA/I1"", ""PsrA/R1"", ""PhlF/P2""]",0,96.44549560546875,True,True,True,True,"[{""perm"": 0, ""r2"": 0.9537, ""maxc"": 106.5839, ""topK"": 96.4455}]"
2d1a0fd5,"['0x2B', '0x4D', '0x71']",6,A1,2,0,0.9670395991387984,1,181.34957885742188,0.5884130001068115,"[1, 14, 11, 13, 2, 5]","[""AmtR/A1"", ""QacR/Q1"", ""PhlF/P2"", ""PsrA/R1"", ""BetI/E1"", ""BM3R1/B3""]",1,168.96026611328125,False,False,True,False,"[{""perm"": 0, ""r2"": 0.967, ""maxc"": 176.1898, ""topK"": 156.7904}, {""perm"": 1, ""r2"": 0.9572, ""maxc"": 181.3496, ""topK"": 168.9603}]"
3ff42dea,0x2B,6,A1,1,1,0.9027681651871474,1,644.4579467773438,0.556826651096344,"[11, 18, 2, 4, 14, 13]","[""PhlF/P2"", ""SrpR/S3"", ""BetI/E1"", ""BM3R1/B2"", ""QacR/Q1"", ""PsrA/R1""]",1,601.4975219726563,True,True,True,True,"[{""perm"": 1, ""r2"": 0.9028, ""maxc"": 644.4579, ""topK"": 601.4975}]"
461f6e8c,"['0x2B', '0x4D', '0x71']",6,A1,1,1,0.95961899693202,1,261.1794128417969,0.6448805928230286,"[11, 1, 14, 13, 19, 2]","[""PhlF/P2"", ""AmtR/A1"", ""QacR/Q1"", ""PsrA/R1"", ""SrpR/S4"", ""BetI/E1""]",1,250.77333374023436,True,True,True,True,"[{""perm"": 1, ""r2"": 0.9596, ""maxc"": 261.1794, ""topK"": 250.7733}]"
02d9736d,"['0x2B', '0x4D', '0x71']",7,A1,1,0,0.9358731108243948,0,161.6008758544922,0.5504685044288635,"[1, 14, 17, 4, 2, 13, 11]","[""AmtR/A1"", ""QacR/Q1"", ""SrpR/S2"", ""BM3R1/B2"", ""BetI/E1"", ""PsrA/R1"", ""PhlF/P2""]",0,130.75719146728517,True,True,True,True,"[{""perm"": 0, ""r2"": 0.9359, ""maxc"": 161.6009, ""topK"": 130.7572}]"
076cf7ed,"['0x2B', '0x4D']",7,A2,1,1,0.8388372106332934,1,105.93011474609375,0.4926009774208069,"[1, 7, 2, 15, 13, 11, 5]","[""AmtR/A1"", ""IcaRA/I1"", ""BetI/E1"", ""QacR/Q2"", ""PsrA/R1"", ""PhlF/P2"", ""BM3R1/B3""]",1,96.90096282958984,True,True,True,True,"[{""perm"": 1, ""r2"": 0.8388, ""maxc"": 105.9301, ""topK"": 96.901}]"
