task,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,n_topologies,n_targets,total_designs
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,0,AmeR/F1,172978,330534,-0.9342061428662063,25,12,503512
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,1,AmtR/A1,308094,223033,0.4661116135633475,25,12,531127
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,2,BetI/E1,317605,200696,0.6622191155764642,25,12,518301
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,3,BM3R1/B1,104798,127673,-0.28483980862467867,25,12,232471
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,4,BM3R1/B2,142121,110170,0.36738537877456484,25,12,252291
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,5,BM3R1/B3,135165,116998,0.2082360990394852,25,12,252163
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,6,HlyIIR/H1,129515,292132,-1.17349500250835,25,12,421647
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,7,IcaRA/I1,283724,247999,0.19415315649629458,25,12,531723
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,8,LitR/L1,126507,299212,-1.2419442381403234,25,12,425719
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,9,LmrA/N1,118415,290522,-1.2947883562275644,25,12,408937
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,10,PhlF/P1,54841,106810,-0.961707141590462,25,12,161651
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,11,PhlF/P2,173057,67400,1.3604137335754065,25,12,240457
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,12,PhlF/P3,173844,69283,1.3272074446922366,25,12,243127
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,13,PsrA/R1,282236,223087,0.33929421867890075,25,12,505323
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,14,QacR/Q1,212982,126770,0.7485135273541624,25,12,339752
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,15,QacR/Q2,177982,128758,0.4670661717735791,25,12,306740
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,16,SrpR/S1,51727,131576,-1.3468900065972547,25,12,183303
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,17,SrpR/S2,120015,77109,0.6382368792512919,25,12,197124
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,18,SrpR/S3,110874,78661,0.4951953318030963,25,12,189535
circuit_log,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,19,SrpR/S4,129717,77764,0.7381857985592482,25,12,207481
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,0,AmeR/F1,0,21,-4.459431618637297,3,5,21
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,1,AmtR/A1,191,517,-1.4318457869653978,3,5,708
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,2,BetI/E1,1500,876,0.7752752291759555,3,5,2376
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,3,BM3R1/B1,34,598,-4.097129175843819,3,5,632
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,4,BM3R1/B2,608,667,-0.13340587456771968,3,5,1275
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,5,BM3R1/B3,466,383,0.28231623898850566,3,5,849
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,6,HlyIIR/H1,0,576,-9.172427508645484,3,5,576
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,7,IcaRA/I1,616,781,-0.3418981181579344,3,5,1397
circuit_log,"d2o=2|dfi=2|in=2|out=2|pred=0,1|succ=1,1|type=NOR",2,2,2,2,"0,1","1,1",NOR,8,LitR/L1,0,577,-9.174925682500678,3,5,577
