task,source,fp_key,depth_to_output,depth_from_input,in_degree,out_degree,predecessor_depth_signature,successor_depth_signature,node_type,part_idx,part_name,top_count,bot_count,log_odds,total_designs
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,0,AmeR/F1,911,3907,-2.0993247378036437,4818
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,1,AmtR/A1,6165,1332,2.209658109018202,7497
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,2,BetI/E1,5870,754,2.959057707135519,6624
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,3,BM3R1/B1,752,3458,-2.1996332437009998,4210
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,4,BM3R1/B2,2371,1070,1.147145529795748,3441
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,5,BM3R1/B3,2113,1096,0.94641185097949,3209
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,6,HlyIIR/H1,0,8184,-12.998766701361516,8184
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,7,IcaRA/I1,5449,1096,2.312692704148458,6545
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,8,LitR/L1,0,7925,-12.952377251967985,7925
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,9,LmrA/N1,0,6135,-12.583082767502933,6135
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,10,PhlF/P1,0,6944,-12.761758978868755,6944
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,11,PhlF/P2,5014,1060,2.240825044584778,6074
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,12,PhlF/P3,4469,483,3.207195878796086,4952
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,13,PsrA/R1,4654,2077,1.1635855135419442,6731
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,14,QacR/Q1,4830,1281,1.913925590813336,6111
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,15,QacR/Q2,3409,805,2.0809199953835678,4214
circuit_log,0x2B,"d2o=1|dfi=3|in=2|out=1|pred=0,2|succ=0|type=NOR",1,3,2,1,"0,2",0,NOR,16,SrpR/S1,0,5246,-12.357277074642809,5246
