k,raw_motif,iso_key
4,"?(0,1)/?(1,0)/?(1,0)/?(1,2)|edges=0001000000000110",0000000000011100
4,"?(0,2)/?(1,0)/?(1,0)/?(1,1)|edges=0101000000000010",0000000001001010
4,"?(0,2)/?(1,1)/?(1,1)/?(2,0)|edges=0110000100010000",0000001110001000
4,"?(0,1)/?(1,0)/?(1,1)/?(1,1)|edges=0010000000010100",0000000101001000
4,"?(0,1)/?(0,1)/?(1,0)/?(2,1)|edges=0001000100000010",0000000100011000
4,"?(0,1)/?(1,0)/?(1,1)/?(1,1)|edges=0001000001000010",0000000101001000
4,"?(0,2)/?(1,0)/?(1,0)/?(1,1)|edges=0011000000000100",0000000001001010
4,"?(0,1)/?(0,1)/?(1,1)/?(2,0)|edges=0010000100010000",0000000110001000
4,"?(0,2)/?(1,1)/?(1,1)/?(2,0)|edges=0101001000010000",0000000111001000
4,"?(0,1)/?(0,1)/?(1,1)/?(2,0)|edges=0001001000010000",0000000110001000
4,"?(0,2)/?(0,2)/?(2,0)/?(2,0)|edges=0011001100000000",0000000011001100
4,"?(0,1)/?(1,1)/?(1,2)/?(2,0)|edges=0010000101010000",0000000110001010
4,"?(0,1)/?(0,2)/?(1,0)/?(2,0)|edges=0001001100000000",0000000001001100
4,"?(0,1)/?(0,2)/?(2,0)/?(2,1)|edges=0001001100000010",0000000110011000
4,"?(0,2)/?(1,0)/?(1,2)/?(2,0)|edges=0011000001010000",0000000001011100
4,"?(0,2)/?(1,0)/?(1,1)/?(2,1)|edges=0011000000010100",0000000101011000
4,"?(0,3)/?(1,0)/?(1,0)/?(1,0)|edges=0111000000000000",0000000000001110
4,"?(0,3)/?(1,0)/?(1,1)/?(2,0)|edges=0111000000010000",0000000001001110
4,"?(0,2)/?(1,2)/?(2,0)/?(2,1)|edges=0101001100000010",0000001110001010
4,"?(0,2)/?(1,1)/?(1,1)/?(2,0)|edges=0011000101000000",0000000111001000
4,"?(0,3)/?(1,1)/?(2,0)/?(2,1)|edges=0111000100000010",0000000111011000
