k,raw_motif,iso_key
5,"?(0,1)/?(1,1)/?(1,1)/?(1,2)/?(2,0)|edges=0001000001000010110000000",0000000001100001000000110
5,"?(0,2)/?(1,1)/?(1,1)/?(1,1)/?(2,0)|edges=0110000001000100000100000",0000000001010101000010000
5,"?(0,1)/?(0,1)/?(1,1)/?(1,1)/?(2,0)|edges=0001000100000010000100000",0000000001000101000010000
5,"?(0,1)/?(0,1)/?(1,1)/?(1,1)/?(2,0)|edges=0000100100000100000100000",0000000001010001000010000
5,"?(0,2)/?(1,0)/?(1,1)/?(1,2)/?(2,0)|edges=0011000000000010100100000",0000000000000110100011000
5,"?(0,1)/?(0,2)/?(1,0)/?(1,1)/?(2,0)|edges=0000100110000000000100000",0000000000010000100010010
5,"?(0,1)/?(1,0)/?(1,0)/?(1,1)/?(1,2)|edges=0000100000000000100000110",0000000000000010100010010
5,"?(0,1)/?(0,1)/?(1,0)/?(1,2)/?(2,0)|edges=0001000001000000010100000",0000000000000010100011000
5,"?(0,1)/?(0,1)/?(1,1)/?(1,1)/?(2,0)|edges=0010000010000010000100000",0000000001000101000010000
5,"?(0,1)/?(0,2)/?(1,0)/?(1,0)/?(2,1)|edges=0000100011000000000000100",0000000000000010100110000
5,"?(0,1)/?(0,1)/?(0,2)/?(2,0)/?(2,0)|edges=0001000001000110000000000",0000000000010001000011000
5,"?(0,2)/?(1,1)/?(1,1)/?(1,1)/?(2,0)|edges=0100100100000100000100000",0000000001010001010010000
5,"?(0,1)/?(1,0)/?(1,1)/?(1,1)/?(1,1)|edges=0010000000000100000101000",0000000001000100100010000
5,"?(0,2)/?(1,0)/?(1,1)/?(1,1)/?(2,1)|edges=0011000000000010000101000",0000000001000010110010000
5,"?(0,1)/?(0,1)/?(1,0)/?(1,1)/?(2,1)|edges=0000100001000000010000010",0000000001000011000000010
5,"?(0,1)/?(1,0)/?(1,1)/?(1,1)/?(1,1)|edges=0000100000000100100000100",0000000001000100100010000
5,"?(0,1)/?(1,0)/?(1,0)/?(1,1)/?(1,2)|edges=0001000000000000000101100",0000000000000010010011000
5,"?(0,1)/?(1,0)/?(1,1)/?(1,1)/?(1,1)|edges=0001000000010000000100100",0000000001000100100010000
5,"?(0,2)/?(1,0)/?(1,0)/?(1,1)/?(1,1)|edges=0100100000000000010000010",0000000000000010110010000
5,"?(0,1)/?(1,0)/?(1,0)/?(1,1)/?(1,2)|edges=0000100000000000010001010",0000000000000010100010010
5,"?(0,1)/?(0,1)/?(1,0)/?(1,1)/?(2,1)|edges=0001000001000000000100100",0000000001000010010010000
5,"?(0,2)/?(1,0)/?(1,1)/?(1,1)/?(2,1)|edges=0010100000000100000101000",0000000001000110100010000
5,"?(0,2)/?(1,0)/?(1,0)/?(1,0)/?(1,2)|edges=0010100000000000000001010",0000000000000000010111000
5,"?(0,2)/?(1,1)/?(1,1)/?(1,1)/?(2,0)|edges=0110000010000010000100000",0000000001010101000010000
5,"?(0,1)/?(1,1)/?(1,1)/?(1,2)/?(2,0)|edges=0001000100000010100100000",0000000001000101000010100
