k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,circuit,6,0000000001000010110010000,0,1,63,11,80436,332954,0,1773248,36275,273793,0,1569867
5,circuit,6,0000000001000010110010000,0,2,63,11,56224,260594,0,1745810,39458,362934,0,1591437
5,circuit,6,0000000001000010110010000,0,7,63,11,31229,170125,0,1773336,27060,301134,0,1569438
5,circuit,6,0000000001000010110010000,0,13,63,11,22804,208432,0,1687057,39251,342859,0,1623554
5,circuit,6,0000000001000010110010000,0,19,63,11,43837,144192,0,852287,15360,156948,0,751411
5,circuit,6,0000000001000010110010000,1,14,63,11,76960,244743,0,1259715,47908,261446,0,1097886
5,circuit,6,0000000001000010110010000,2,1,63,11,119603,316194,0,1685016,54743,317772,0,1479603
5,circuit,6,0000000001000010110010000,2,2,63,11,117776,346113,0,1779208,42813,297881,0,1363449
5,circuit,6,0000000001000010110010000,2,3,63,11,59758,155641,0,723547,45447,255770,0,921700
5,circuit,6,0000000001000010110010000,2,4,63,11,58820,170432,0,932729,35612,178205,0,849655
5,circuit,6,0000000001000010110010000,2,5,63,11,58945,167039,0,913313,32265,184112,0,862875
5,circuit,6,0000000001000010110010000,2,7,63,11,121595,334658,0,1748527,44099,283641,0,1361995
5,circuit,6,0000000001000010110010000,2,13,63,11,119215,315274,0,1743661,43392,285868,0,1343110
5,circuit,6,0000000001000010110010000,2,17,63,11,58321,153069,0,823884,14174,123942,0,615184
5,circuit,6,0000000001000010110010000,2,18,63,11,57525,154036,0,835276,14687,127309,0,619927
5,circuit,6,0000000001000010110010000,2,19,63,11,59954,163126,0,829799,15982,128830,0,617539
5,circuit,6,0000000001000010110010000,3,1,63,11,141680,388451,0,1719588,22970,190520,0,1031469
5,circuit,6,0000000001000010110010000,3,2,63,11,114009,322320,0,1741242,22226,151771,0,923073
5,circuit,6,0000000001000010110010000,3,19,63,11,62267,160225,0,832919,5808,62403,0,411362
5,circuit,6,0000000001000010110010000,4,1,63,11,92606,262725,0,1822061,53952,302439,0,1617405
5,circuit,6,0000000001000010110010000,4,2,63,11,152147,445049,0,1930088,68786,405863,0,1664443
5,circuit,6,0000000001000010110010000,4,4,63,11,35002,115159,0,1006150,26674,158200,0,768602
5,circuit,6,0000000001000010110010000,4,5,63,11,34283,103638,0,993814,24993,152629,0,751858
5,circuit,6,0000000001000010110010000,4,7,63,11,145237,405671,0,1962498,77893,419359,0,1641633
5,circuit,6,0000000001000010110010000,4,13,63,11,208941,492017,0,1877806,79490,434667,0,1718208
5,circuit,6,0000000001000010110010000,4,17,63,11,61261,161749,0,916751,22739,160648,0,710437
5,circuit,6,0000000001000010110010000,4,18,63,11,69556,182868,0,896721,26444,176563,0,730773
5,circuit,6,0000000001000010110010000,4,19,63,11,58321,165529,0,896006,21753,151295,0,701369
5,circuit,6,0000000001000010110010000,0,4,63,11,52061,233680,0,1031301,50675,243387,0,895021
5,circuit,6,0000000001000010110010000,0,5,63,11,65633,264259,0,1027792,57539,254068,0,923008
5,circuit,6,0000000001000010110010000,0,11,63,11,99764,235360,0,1063726,39422,243411,0,1029248
5,circuit,6,0000000001000010110010000,0,12,63,11,76511,200721,0,1066911,31962,225620,0,1003353
5,circuit,6,0000000001000010110010000,0,14,63,11,92319,235952,0,1227433,45418,314852,0,1283159
5,circuit,6,0000000001000010110010000,0,15,63,11,28641,157993,0,1155290,30234,263305,0,1184204
5,circuit,6,0000000001000010110010000,0,17,63,11,26342,108576,0,838730,11323,142744,0,731188
5,circuit,6,0000000001000010110010000,0,18,63,11,19759,94596,0,817198,10975,145015,0,718132
5,circuit,6,0000000001000010110010000,1,1,63,11,120004,328623,0,1734474,14762,229632,0,1488635
5,circuit,6,0000000001000010110010000,1,2,63,11,118369,350062,0,1809201,94498,380475,0,1482072
5,circuit,6,0000000001000010110010000,1,3,63,11,57049,148610,0,794681,12587,219594,0,902561
5,circuit,6,0000000001000010110010000,1,4,63,11,58211,172884,0,961141,23690,176413,0,854369
5,circuit,6,0000000001000010110010000,1,5,63,11,58129,170065,0,953585,20481,166689,0,869547
5,circuit,6,0000000001000010110010000,1,7,63,11,123379,338548,0,1784488,67574,343342,0,1466609
5,circuit,6,0000000001000010110010000,1,11,63,11,50803,198534,0,1122306,33318,186968,0,781111
5,circuit,6,0000000001000010110010000,1,12,63,11,50081,192299,0,1113705,40468,193333,0,789411
5,circuit,6,0000000001000010110010000,1,13,63,11,120825,320274,0,1809878,113456,423907,0,1614121
5,circuit,6,0000000001000010110010000,1,15,63,11,74589,225916,0,1240470,88942,316496,0,1179146
5,circuit,6,0000000001000010110010000,1,17,63,11,59373,156746,0,851240,21610,146678,0,660344
5,circuit,6,0000000001000010110010000,1,18,63,11,59745,156328,0,843738,31998,157088,0,677968
