k,task,size_class,parent_iso_key,motif_position,part_idx,n_topo_in_size,n_topo_with_motif_in_size,presence_designs_top_01,presence_designs_top_05,presence_designs_top_10,presence_designs_top_25,presence_designs_bot_01,presence_designs_bot_05,presence_designs_bot_10,presence_designs_bot_25
5,toxicity,6,0000000001000010110010000,0,0,63,11,37003,259771,0,1689127,58319,335991,0,1732628
5,toxicity,6,0000000001000010110010000,0,1,63,11,59576,356327,0,1971065,35868,245683,0,1523991
5,toxicity,6,0000000001000010110010000,0,2,63,11,79159,435488,0,2146704,24478,192481,0,1380993
5,toxicity,6,0000000001000010110010000,0,3,63,11,3998,48883,0,607912,71316,320353,0,1298463
5,toxicity,6,0000000001000010110010000,0,4,63,11,43018,221682,0,1123509,18307,133457,0,885523
5,toxicity,6,0000000001000010110010000,0,5,63,11,38155,223521,0,1133901,16539,124314,0,859992
5,toxicity,6,0000000001000010110010000,0,6,63,11,6830,68024,0,865177,169748,699918,0,2349855
5,toxicity,6,0000000001000010110010000,0,8,63,11,23419,186552,0,1521943,89381,434675,0,1936309
5,toxicity,6,0000000001000010110010000,0,9,63,11,14431,158242,0,1445379,86049,440200,0,1957283
5,toxicity,6,0000000001000010110010000,0,10,63,11,48520,261042,0,1206795,14117,112112,0,819335
5,toxicity,6,0000000001000010110010000,0,11,63,11,18722,141332,0,950363,31235,188384,0,1025440
5,toxicity,6,0000000001000010110010000,0,12,63,11,4373,63961,0,718285,51470,267347,0,1206815
5,toxicity,6,0000000001000010110010000,0,13,63,11,30531,243616,0,1684428,65858,352891,0,1765527
5,toxicity,6,0000000001000010110010000,0,14,63,11,4088,41808,0,518578,169841,614942,0,1916575
5,toxicity,6,0000000001000010110010000,0,15,63,11,87434,450450,0,1925708,3710,72501,0,827041
5,toxicity,6,0000000001000010110010000,0,16,63,11,1242,21204,0,426260,78008,330524,0,1174626
5,toxicity,6,0000000001000010110010000,0,17,63,11,26254,168653,0,907194,17950,116300,0,739363
5,toxicity,6,0000000001000010110010000,0,18,63,11,5040,49190,0,537147,57603,261261,0,1048655
5,toxicity,6,0000000001000010110010000,0,19,63,11,51933,263401,0,1071744,10417,77088,0,622155
5,toxicity,6,0000000001000010110010000,1,0,63,11,39470,269153,0,1730547,80498,386862,0,1785529
5,toxicity,6,0000000001000010110010000,1,1,63,11,75138,418680,0,2127859,27638,210071,0,1426065
5,toxicity,6,0000000001000010110010000,1,2,63,11,76254,423302,0,2148672,21344,179496,0,1361248
5,toxicity,6,0000000001000010110010000,1,3,63,11,1696,32190,0,584970,64356,309487,0,1278209
5,toxicity,6,0000000001000010110010000,1,4,63,11,49231,257306,0,1237849,19763,124447,0,832079
5,toxicity,6,0000000001000010110010000,1,5,63,11,42589,252974,0,1227955,15182,114178,0,821721
5,toxicity,6,0000000001000010110010000,1,8,63,11,18859,198924,0,1666066,61476,342523,0,1748509
5,toxicity,6,0000000001000010110010000,1,9,63,11,15776,174081,0,1587981,78571,394528,0,1881694
5,toxicity,6,0000000001000010110010000,1,10,63,11,62518,326535,0,1374918,9319,78721,0,675474
5,toxicity,6,0000000001000010110010000,1,11,63,11,18289,137433,0,913810,42692,217952,0,1070116
5,toxicity,6,0000000001000010110010000,1,12,63,11,3779,59011,0,692766,54785,278723,0,1222012
5,toxicity,6,0000000001000010110010000,1,13,63,11,24982,213444,0,1592807,74655,393259,0,1852146
5,toxicity,6,0000000001000010110010000,1,15,63,11,70129,397749,0,1867536,2827,71734,0,851796
5,toxicity,6,0000000001000010110010000,1,16,63,11,940,20095,0,469624,63355,283098,0,1083491
5,toxicity,6,0000000001000010110010000,1,17,63,11,32451,190137,0,962879,17115,109611,0,710120
5,toxicity,6,0000000001000010110010000,1,18,63,11,1787,26143,0,469392,63031,289219,0,1114577
5,toxicity,6,0000000001000010110010000,1,19,63,11,56824,276670,0,1102279,8956,71387,0,595135
5,toxicity,6,0000000001000010110010000,2,0,63,11,26925,225475,0,1624777,83630,407137,0,1831569
5,toxicity,6,0000000001000010110010000,2,1,63,11,80652,425331,0,2103029,28742,217119,0,1438322
5,toxicity,6,0000000001000010110010000,2,2,63,11,81118,434903,0,2134912,21908,183643,0,1362400
5,toxicity,6,0000000001000010110010000,2,3,63,11,1963,38352,0,624148,66353,304559,0,1254989
5,toxicity,6,0000000001000010110010000,2,4,63,11,37223,224104,0,1172455,19035,133909,0,871126
5,toxicity,6,0000000001000010110010000,2,5,63,11,45545,269304,0,1248711,14226,112184,0,811112
5,toxicity,6,0000000001000010110010000,2,6,63,11,3105,41310,0,773313,172330,698596,0,2383287
5,toxicity,6,0000000001000010110010000,2,8,63,11,19990,205325,0,1651374,66362,349482,0,1747296
5,toxicity,6,0000000001000010110010000,2,9,63,11,10775,143367,0,1494297,74985,409982,0,1918616
5,toxicity,6,0000000001000010110010000,2,10,63,11,70744,347926,0,1389673,9390,77500,0,660306
5,toxicity,6,0000000001000010110010000,2,11,63,11,13164,116998,0,857240,41945,228942,0,1097884
5,toxicity,6,0000000001000010110010000,2,12,63,11,4136,64639,0,708711,52932,272267,0,1206235
5,toxicity,6,0000000001000010110010000,2,13,63,11,28700,220641,0,1592099,76904,399803,0,1857658
5,toxicity,6,0000000001000010110010000,2,14,63,11,1006,17292,0,439990,153971,575828,0,1899121
5,toxicity,6,0000000001000010110010000,2,15,63,11,82778,437332,0,1900509,3049,68343,0,822854
5,toxicity,6,0000000001000010110010000,2,17,63,11,23604,160362,0,904742,17927,119077,0,744296
5,toxicity,6,0000000001000010110010000,2,18,63,11,3170,33896,0,486986,66977,293016,0,1108954
5,toxicity,6,0000000001000010110010000,2,19,63,11,56930,276475,0,1083149,9861,74725,0,605073
5,toxicity,6,0000000001000010110010000,3,0,63,11,34565,309203,0,1964189,40395,265143,0,1542993
5,toxicity,6,0000000001000010110010000,3,1,63,11,64254,353656,0,1996015,25840,204457,0,1434355
5,toxicity,6,0000000001000010110010000,3,2,63,11,67454,399590,0,2175741,17978,160358,0,1314421
5,toxicity,6,0000000001000010110010000,3,3,63,11,1136,27117,0,567507,70954,326372,0,1327236
5,toxicity,6,0000000001000010110010000,3,4,63,11,68016,324881,0,1380047,6166,67061,0,688348
5,toxicity,6,0000000001000010110010000,3,5,63,11,51387,283710,0,1302093,9968,87430,0,748280
5,toxicity,6,0000000001000010110010000,3,8,63,11,13093,143830,0,1396348,77001,413427,0,1946872
5,toxicity,6,0000000001000010110010000,3,9,63,11,33586,268105,0,1872019,29816,237870,0,1578588
5,toxicity,6,0000000001000010110010000,3,10,63,11,75198,350904,0,1389175,8919,75925,0,690643
5,toxicity,6,0000000001000010110010000,3,11,63,11,21643,171558,0,1048268,17666,133753,0,896099
5,toxicity,6,0000000001000010110010000,3,12,63,11,4213,64813,0,743547,40689,236076,0,1160855
5,toxicity,6,0000000001000010110010000,3,13,63,11,20164,177870,0,1540882,64540,362414,0,1831907
5,toxicity,6,0000000001000010110010000,3,15,63,11,57986,341709,0,1819657,3659,75145,0,876717
5,toxicity,6,0000000001000010110010000,3,16,63,11,648,22116,0,505576,54513,268260,0,1086149
5,toxicity,6,0000000001000010110010000,3,17,63,11,25558,172593,0,960532,9982,83466,0,678253
5,toxicity,6,0000000001000010110010000,3,18,63,11,1017,14588,0,376027,72111,319162,0,1181248
5,toxicity,6,0000000001000010110010000,3,19,63,11,50240,259687,0,1098019,8125,65464,0,581455
5,toxicity,6,0000000001000010110010000,4,0,63,11,25320,221534,0,1542858,90747,428314,0,1899478
5,toxicity,6,0000000001000010110010000,4,1,63,11,57613,334275,0,1848345,62663,352280,0,1721316
5,toxicity,6,0000000001000010110010000,4,2,63,11,76431,409792,0,2001071,40197,269141,0,1548447
5,toxicity,6,0000000001000010110010000,4,3,63,11,12181,117922,0,902257,32950,201404,0,1037944
5,toxicity,6,0000000001000010110010000,4,4,63,11,17035,139061,0,921489,42875,231829,0,1085510
5,toxicity,6,0000000001000010110010000,4,5,63,11,32888,207560,0,1071341,28851,181694,0,969843
5,toxicity,6,0000000001000010110010000,4,6,63,11,10032,120728,0,1390162,58906,359776,0,1882082
5,toxicity,6,0000000001000010110010000,4,7,63,11,279,5436,0,82102,162830,811123,0,3975523
5,toxicity,6,0000000001000010110010000,4,8,63,11,31918,224437,0,1612251,98548,450579,0,1894662
5,toxicity,6,0000000001000010110010000,4,9,63,11,2201,58370,0,944589,223910,769792,0,2475900
5,toxicity,6,0000000001000010110010000,4,10,63,11,90829,361931,0,1338776,15208,111494,0,755399
5,toxicity,6,0000000001000010110010000,4,11,63,11,10847,96714,0,738328,80601,337360,0,1264443
5,toxicity,6,0000000001000010110010000,4,12,63,11,6112,76548,0,718620,67189,306740,0,1236265
5,toxicity,6,0000000001000010110010000,4,13,63,11,35349,256878,0,1621387,94007,447969,0,1895065
5,toxicity,6,0000000001000010110010000,4,14,63,11,4540,56984,0,816828,57446,332749,0,1574399
5,toxicity,6,0000000001000010110010000,4,15,63,11,95763,465679,0,1889486,2569,84181,0,866107
5,toxicity,6,0000000001000010110010000,4,16,63,11,4744,62905,0,644662,48766,240139,0,979592
5,toxicity,6,0000000001000010110010000,4,17,63,11,22622,162821,0,881640,22074,132453,0,775741
5,toxicity,6,0000000001000010110010000,4,18,63,11,6246,73116,0,670131,37173,199005,0,934158
5,toxicity,6,0000000001000010110010000,4,19,63,11,49275,248648,0,1009385,15992,105471,0,693616
5,toxicity,6,0000000001000010110010000,1,6,63,11,1101,19357,0,577072,183552,773639,0,2502075
5,toxicity,6,0000000001000010110010000,1,14,63,11,412,8155,0,310518,173183,650730,0,2003584
5,toxicity,6,0000000001000010110010000,2,16,63,11,697,18307,0,455382,66612,294080,0,1096055
5,toxicity,6,0000000001000010110010000,3,6,63,11,1470,10234,0,295015,279677,1044021,0,2833001
