k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
3,circuit,4,000000110,27,23,2,1,2,False,-0.3035006504826786,0.4231626938896873,8539,9,0.6405265035879951,64624,22,0.7081051614341998,142885,23,0.7804948153610416,393737,23,0.9251825685672828,466725,15,0.9632188237159791,194366,12,0.9965706243247797,100547,9,0.9984637494424897,20148,6,-1.2384976048873835,-0.6377137812973195,-0.44389995389811765,-0.24534903554740695
3,circuit,4,000100100,27,27,2,2,1,False,-0.30528543899465743,1.0,20179,12,1.0,100892,26,1.0,201785,27,1.0,504471,27,1.0,504468,19,1.0,201788,14,1.0,100893,11,1.0,20179,7,0.0,0.0,0.0,0.0
3,circuit,4,000100110,27,18,3,2,2,False,0.30528543899465743,0.9111948064819863,18387,9,0.8091127145858938,81633,17,0.7812424114775628,157643,18,0.7173811775106993,361898,18,0.6812562937589699,343672,14,0.6932176343489207,139883,9,0.7787061540443837,78566,8,0.8098022696863075,16341,5,0.17018983761393974,0.055261665517719584,0.17246191643027675,0.07454223955853882
3,circuit,4,000001100,27,27,2,1,1,True,0.222217287918306,1.0,20179,12,1.0,100892,26,1.0,201785,27,1.0,504471,27,1.0,504468,19,1.0,201788,14,1.0,100893,11,1.0,20179,7,0.0,0.0,0.0,0.0
3,circuit,5,000000110,43,42,2,1,2,False,-0.0355690338744822,0.9653968852681097,363442,31,0.9716963490744657,1829094,42,0.9763893076139489,3675847,42,0.980580315734157,9229067,42,1.0,9411841,28,1.0,3764737,18,1.0,1882368,13,1.0,376474,7,-0.050805922771825184,-0.04142254661770895,-0.03447159855649161,-0.0282922937754399
3,circuit,5,000100100,43,43,2,2,1,False,-0.03956704724621109,1.0,376469,32,1.0,1882372,43,1.0,3764735,43,1.0,9411842,43,1.0,9411841,28,1.0,3764737,18,1.0,1882368,13,1.0,376474,7,0.0,0.0,0.0,0.0
3,circuit,5,000100110,43,30,3,2,2,False,0.039567047246211115,0.8227662835452587,309746,23,0.7666385815343619,1443099,30,0.7580645118447912,2853912,30,0.7510951628809749,7069189,30,0.5490421055774317,5167497,18,0.4982013351795889,1875597,10,0.524796957874337,987861,7,0.8889538188560167,334668,5,-0.11162579868419381,0.5467872474226473,0.6055917400179873,0.452078914556043
3,circuit,5,000001100,43,43,2,1,1,True,0.32511878708450354,1.0,376469,32,1.0,1882372,43,1.0,3764735,43,1.0,9411842,43,1.0,9411841,28,1.0,3764737,18,1.0,1882368,13,1.0,376474,7,0.0,0.0,0.0,0.0
3,circuit,6,000000110,63,60,2,1,2,False,-0.06463746932980317,0.932020208514733,5131515,55,0.8959069655627383,24663413,60,0.9161169899353531,50439539,60,0.9394819156496017,129314915,60,0.9781852030704424,134642225,52,0.9904206960638412,54530550,47,0.9970285133329126,27447179,40,0.9998080205281815,5504740,35,-0.1012898640328346,-0.15428583881737873,-0.11250961669065568,-0.058242250236039
3,circuit,6,000100100,63,63,2,2,1,False,-0.14655171137603715,1.0,5505798,58,1.0,27528989,63,1.0,55057967,63,1.0,137644922,63,1.0,137644921,54,1.0,55057967,48,1.0,27528981,41,1.0,5505797,36,0.0,0.0,0.0,0.0
3,circuit,6,000100110,63,46,3,2,2,False,0.14655171137603717,0.46463873175150994,2558207,42,0.6459324387103355,17781867,46,0.6815213863599432,37523182,46,0.6829219533431099,94000739,46,0.7199616468231327,99099064,40,0.6941585402163505,38218958,35,0.6913164348509667,19031237,30,0.6946965171436579,3824858,25,-0.5802734438446538,-0.09796294947560813,-0.026506270382999554,-0.07619934278238942
3,circuit,6,000001100,63,63,2,1,1,True,0.2984212707396179,1.0,5505798,58,1.0,27528989,63,1.0,55057967,63,1.0,137644922,63,1.0,137644921,54,1.0,55057967,48,1.0,27528981,41,1.0,5505797,36,0.0,0.0,0.0,0.0
3,circuit,7,000000110,82,79,2,1,2,False,0.057689195547605,0.9574873067042211,7851394,57,0.9099810443893193,37309221,79,0.9091873902439025,74553366,79,0.9271822010656263,190072354,79,0.9758809658536586,200055598,65,1.0,81999998,62,1.0,41000001,59,1.0,8200001,54,-0.06267473336021763,-0.13609160171927623,-0.13735041970514222,-0.07385231273954389
3,circuit,7,000100100,82,82,2,2,1,False,-0.11038581694995013,1.0,8199998,60,1.0,40999998,82,1.0,82000000,82,1.0,205000003,82,1.0,205000000,68,1.0,81999998,62,1.0,41000001,59,1.0,8200001,54,0.0,0.0,0.0,0.0
3,circuit,7,000100110,82,64,3,2,2,False,0.11038581694995021,0.7145857840453131,5859602,45,0.8319378454603827,34109450,64,0.8346701097560976,68442949,64,0.8137824856519636,166825412,64,0.780357287804878,159973244,53,0.7776195433565742,63764801,47,0.7758255664432788,31808849,45,0.7323991789757098,6005674,41,-0.035522960601932135,0.10074342882677548,0.10214163007272889,0.06050841543098296
3,circuit,7,000001100,82,82,2,1,1,True,0.11755429339935529,1.0,8199998,60,1.0,40999998,82,1.0,82000000,82,1.0,205000003,82,1.0,205000000,68,1.0,81999998,62,1.0,41000001,59,1.0,8200001,54,0.0,0.0,0.0,0.0
