k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
4,circuit,4,0000000000001110,27,0,3,1,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,circuit,4,0000000000011100,27,4,3,1,2,False,-0.08159538660651634,0.04316368501907924,871,1,0.05898386393371129,5951,4,0.06888024382387194,13899,4,0.09046307914627402,45636,4,0.3086062941554271,155682,4,0.4683132792832081,94500,4,0.5361521612004797,54094,3,0.06204469993557659,1252,1,-0.5234899383337539,-3.1842502597883757,-2.7653117922948276,-1.7703664787849165
4,circuit,4,0000000001001010,27,11,3,1,2,False,-0.3280731476320074,0.12859903860448982,2595,4,0.2893093605043016,29189,10,0.30334762246946007,61211,11,0.3618602456831017,182548,11,0.519559218820619,262101,8,0.4281077170099312,86387,7,0.45800997095933316,46210,5,0.9364190495069131,18896,5,-2.864274426151914,-0.6627660044725247,-0.49700183750294813,-0.5218555748428186
4,circuit,4,0000000001001100,27,17,3,2,2,False,-0.24386159768621873,0.23901085286684176,4823,5,0.386006819172977,38945,17,0.42869390688108633,86504,17,0.5185550804704334,261596,17,0.713783629486905,360081,11,0.7360645826312764,148529,9,0.7842962346248006,79130,7,0.3676098914713316,7418,5,-0.6210994577411143,-1.022772339832622,-0.779884442570332,-0.4609895747945548
4,circuit,4,0000000001001110,27,4,4,2,3,False,-0.12265759294923216,0.061697804648396845,1245,1,0.10940411529159894,11038,4,0.11144535024902744,22488,4,0.1318034138731463,66491,4,0.0689062537167868,34761,2,0.07491525759708209,15117,1,0.07928201163608972,7999,1,0.06273849050993607,1266,1,-0.0241316624728982,0.46460153301061274,0.573004945523339,0.9356809099457516
4,circuit,4,0000000001011100,27,3,4,2,2,False,-0.36009623947630515,0.0,0,0,0.0001982317725885105,20,2,0.005575240974304334,1125,3,0.03258264597964997,16437,3,0.29341603431734026,148019,3,0.4725157095565643,95348,3,0.664198705559355,67013,3,0.6928985579067347,13982,2,,-11.710210979653576,-6.4051843217926665,-3.170772039704517
4,circuit,4,0000000011001100,27,1,4,2,2,False,-0.12360716378720452,0.0,0,0,0.0004856678428418507,49,1,0.003870456178605942,781,1,0.01815565215839959,9159,1,0.058945265110968384,29736,1,0.07491525759708209,15117,1,0.07928201163608972,7999,1,0.06273849050993607,1266,1,,-7.350879793065875,-4.274684054715025,-1.6989571774121106
4,circuit,4,0000000100011000,27,14,3,2,1,False,0.31010990188557525,0.23658258585658357,4774,7,0.405711057368275,40933,14,0.47102609212775975,95046,14,0.5405147173970357,272674,14,0.5151288089631056,259866,11,0.5209328602295479,105118,8,0.36832089441289284,37161,5,0.0017344764358987067,35,2,7.0916998341368105,0.13948938075536987,-0.1452904655332293,0.0694006747810953
4,circuit,4,0000000101011000,27,11,4,2,2,False,0.08429994935986539,0.7030576341741415,14187,5,0.5897097886849304,59497,10,0.5174368758827464,104411,11,0.44287382228116184,223417,11,0.37933030439988263,191360,8,0.38602890161952147,77896,3,0.5328615463907308,53762,3,0.7556370484166708,15248,3,-0.10405047673098121,0.14624441618033182,0.42267400866932175,0.22344109183114888
4,circuit,4,0000000110001000,27,26,3,2,1,False,-0.1904413745506523,0.9275979979186283,18718,11,0.9357431709154344,94409,25,0.9249200882127017,186635,26,0.9312230038991339,469775,26,0.9846868384119508,496743,18,0.9873431522191607,199234,13,0.9999900885096092,100892,10,1.0,20179,7,-0.10842838874128917,-0.09580118123086255,-0.09422285791065196,-0.08053827739462525
4,circuit,4,0000000110001010,27,4,4,2,2,False,0.5151981884246057,0.2081371723078448,4200,4,0.21774769059984933,21969,4,0.25462249423891764,51379,4,0.23670141593867636,119409,4,0.11752380725833948,59287,4,0.11609709199754198,23427,4,0.005837867840187129,589,3,0.001536250557510283,31,1,7.08197730216661,5.221072056721904,1.133028041579853,1.0101152974584913
4,circuit,4,0000000110011000,27,14,4,2,2,False,-0.07261903654689189,0.6898756132613113,13921,6,0.5868453395710265,59208,13,0.5256535421364323,106069,14,0.4834390876779835,243881,14,0.6209154991000421,313232,11,0.6356126231490475,128259,7,0.776287750389026,78322,6,0.8098022696863075,16341,5,-0.23123342366297847,-0.40361118470831264,-0.274035543127457,-0.36106281968103004
4,circuit,4,0000000111001000,27,7,4,2,2,False,-0.16523416933467483,0.05768373061103127,1164,3,0.1750981247274313,17666,7,0.19159501449562652,38661,7,0.22847299448333006,115258,7,0.23855031439060556,120341,4,0.2397317977283089,48375,2,0.15187376725838264,15323,2,0.0001982258783884236,4,1,8.184875342908285,0.20529093424496014,-0.32336125784392566,-0.06226993893061998
4,circuit,4,0000000111011000,27,1,5,2,3,False,-0.11933543785011198,0.0,0,0,0.00017840859532965945,18,1,0.002086379066828555,421,1,0.012385251084799721,6248,1,0.08707985442089489,43929,1,0.16327531865125774,32947,1,0.24371363721962871,24589,1,0.06204469993557659,1252,1,,-10.415786142529775,-6.2901616137879595,-2.8137158791723063
4,circuit,4,0000001110001000,27,3,4,2,2,False,0.2970664094326047,0.13880767134149363,2801,3,0.20920390120128454,21107,3,0.19301236464553856,38947,3,0.15541825000842466,78404,3,0.024267148758692327,12242,1,0.012518088290681309,2526,1,0.0,0,0,0.0,0,0,,,3.946607109601367,2.6790794066172583
4,circuit,4,0000001110001010,27,2,5,2,2,False,0.395719839887119,0.07497893850042123,1513,2,0.09594417793283908,9680,2,0.10867507495601754,21929,2,0.09885999393424003,49872,2,0.07400469405393405,37333,2,0.05849208079766884,11803,2,0.003419464184829473,345,1,0.001536250557510283,31,1,5.608999961829862,4.810353079825324,0.893707873133505,0.4177700354117719
4,circuit,4,0000000101001000,27,24,3,1,1,True,0.27299205367158297,0.7962733534862977,16068,9,0.7833624073266463,79035,23,0.7674752830983472,154865,24,0.8069026762688043,407059,24,0.9604196896532585,484501,17,0.9748250639284793,196708,12,0.9999900885096092,100892,10,1.0,20179,7,-0.3286643148467793,-0.35223389890719636,-0.34502305640801506,-0.25127030586960103
4,circuit,5,0000000000001110,43,3,3,1,3,False,0.10397959666740286,0.056740395623544035,21361,3,0.09524684812566273,179290,3,0.09338585584377121,351573,3,0.08446072511629499,794931,3,0.03314686255324543,311973,1,0.02611178416978397,98304,1,3.718720250237998e-06,7,1,0.0,0,0,,14.644577510007693,1.8385030192067475,1.3494083115606355
4,circuit,5,0000000000011100,43,13,3,1,2,False,0.28010789130168695,0.30331315460237096,114188,11,0.30217884668917727,568813,13,0.29009505317107315,1092131,13,0.2936218011309582,2763522,13,0.3855516683717883,3628751,9,0.37868780740859187,1425660,4,0.38456986094111245,723902,4,0.0,0,0,,-0.3478430302959905,-0.38448327732091886,-0.39296512002563605
4,circuit,5,0000000001001010,43,30,3,1,2,False,-0.05620289653759966,0.6931301116426585,260942,21,0.6681474225073472,1257702,30,0.6534709614355326,2460145,30,0.6682291309182623,6289267,30,0.6952835263579145,6543898,19,0.7276548136031813,2739429,14,0.7530684754521964,1417552,10,0.833085418913391,313635,6,-0.2653382325231878,-0.17261459371486781,-0.15513109624578292,-0.0572585303722972
4,circuit,5,0000000001001100,43,35,3,2,2,False,0.027287272946877557,0.9042444397812304,340420,27,0.9007071928396725,1695466,35,0.8909519527934902,3354198,35,0.8833013771374403,8313493,35,0.8388340814512273,7894973,24,0.7846407332039396,2953966,15,0.7569417882156942,1424843,10,0.3791018768892407,142722,4,1.2541272226037081,0.2508758269309077,0.18331540000667293,0.07452028209558455
4,circuit,5,0000000001001110,43,4,4,2,3,False,0.03629173346527607,0.014949438067941849,5628,2,0.041186864232999644,77529,4,0.05993702079960475,225647,4,0.08874394619034191,835244,4,0.07001371995128264,658958,2,0.03660043184955549,137791,1,0.037411919454644366,70423,1,0.09663881171076887,36382,1,-2.6925114589117825,0.1386863039725582,0.7115867047254998,0.3420110455468138
4,circuit,5,0000000001011100,43,7,4,2,2,False,-0.11282948772928385,0.012850991715121298,4838,5,0.02602301776694511,48985,7,0.0336775364003044,126787,7,0.06168069969725374,580529,7,0.16702098983610114,1571975,4,0.19408952072880523,730696,3,0.18503236349109206,348299,3,0.4539835420241504,170913,2,-5.1426883952975,-2.8299174511237704,-2.5268637157707317,-1.4371383840520002
4,circuit,5,0000000011001100,43,1,4,2,2,False,0.08670865014973436,0.000510002151571577,192,1,0.004164957829801973,7840,1,0.0073171152816864935,27547,1,0.012647258634388465,119034,1,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,circuit,5,0000000100011000,43,38,3,2,1,False,0.40406749292859395,0.9450286743397198,355774,31,0.9401340436428082,1769682,38,0.9486372878834766,3571368,38,0.9388866706432173,8836653,38,0.7774875287417201,7317589,24,0.6687311756438763,2517597,14,0.5845822920916632,1100399,9,0.3791018768892407,142722,4,1.3177725055363714,0.6854603415624277,0.5044302012107584,0.27213149234789646
4,circuit,5,0000000101011000,43,21,4,2,2,False,0.15850486763818644,0.6022381656922615,226724,15,0.5045538288924825,949758,21,0.4400479715039704,1656664,21,0.42820693335055987,4030216,21,0.4474118294178578,4210969,13,0.44619743689931063,1679816,7,0.48738503841969266,917438,6,0.7923150071452477,298286,4,-0.395739989402321,0.04994622870610928,-0.02002141964903887,-0.06329524583424702
4,circuit,5,0000000110001000,43,43,3,2,1,False,0.21123229165471966,1.0,376469,32,1.0,1882372,43,1.0,3764735,43,1.0,9411842,43,1.0,9411841,28,1.0,3764737,18,1.0,1882368,13,1.0,376474,7,0.0,0.0,0.0,0.0
4,circuit,5,0000000110001010,43,11,4,2,2,False,0.23536995244883216,0.3198191617370886,120402,9,0.3524553063900228,663452,11,0.36430107298388864,1371497,11,0.3305739726612495,3111310,11,0.21421388227871677,2016147,7,0.18392572973889013,692432,5,0.1497406458248334,281867,2,0.3608589172160627,135854,2,-0.1741785263139256,1.2349744442029769,0.9860079289201257,0.6259211622991188
4,circuit,5,0000000110011000,43,20,4,2,2,False,0.019274810408692195,0.5683363039187822,213961,13,0.4577766775111402,861706,20,0.4156194260685015,1564697,20,0.4139809189317033,3896323,20,0.4687164817170201,4411485,14,0.4982013351795889,1875597,10,0.524796957874337,987861,7,0.8889538188560167,334668,5,-0.6453635988784442,-0.197115393674357,-0.261465800565039,-0.17915125288554967
4,circuit,5,0000000111001000,43,20,4,2,2,False,-0.09868895991222507,0.2136430888067809,80430,16,0.3157813652136772,594418,20,0.36048725873135823,1357139,20,0.43197675864086965,4065697,20,0.4440262006126113,4179104,11,0.3865786640607299,1455367,7,0.28601793060655517,538391,5,0.2680556957452573,100916,2,-0.3273301426625147,0.14282044475405,-0.10081374600815085,-0.03969111394679908
4,circuit,5,0000000111011000,43,1,5,2,3,False,-0.1854198181367469,0.0,0,0,0.0001668108110405382,314,1,0.0012455059917895947,4689,1,0.006195705367769667,58313,1,0.061348252695726586,577400,1,0.1159095575600633,436369,1,0.172359496124031,324444,1,0.0,0,0,,-10.012992277498777,-6.540123759391802,-3.307681809459508
4,circuit,5,0000001110001000,43,6,4,2,2,False,0.16341374527748978,0.14884359668392352,56035,5,0.12727664882393067,239582,6,0.12618418029423054,475050,6,0.12840823294738693,1208558,6,0.13800243756774047,1298857,6,0.06271593473860193,236109,3,0.0374156381748946,70430,2,0.09663881171076887,36382,1,0.6231225373129085,1.7662544677502783,1.0086270992661006,-0.10395604545216583
4,circuit,5,0000001110001010,43,0,5,2,2,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,circuit,5,0000000101001000,43,43,3,1,1,True,0.44004410835762253,1.0,376469,32,1.0,1882372,43,1.0,3764735,43,1.0,9411842,43,1.0,9411841,28,1.0,3764737,18,1.0,1882368,13,1.0,376474,7,0.0,0.0,0.0,0.0
4,circuit,6,0000000000001110,63,14,3,1,3,False,0.06514706419777735,0.07396766100027644,407251,14,0.09718918482622083,2675520,14,0.14482439934623811,7973737,14,0.18986734577829176,26134276,14,0.2773272251723694,38172684,13,0.2790966291944634,15366493,13,0.2920775018879195,8040596,11,0.3250659259685746,1789747,10,-2.135765777075857,-1.5874835493538322,-0.9464600187785692,-0.54659744670769
4,circuit,6,0000000000011100,63,21,3,1,2,False,0.1770731527045347,0.40539318732725027,2232013,20,0.3054885524492018,8409791,21,0.2748290905837478,15131531,21,0.31315270751506546,43103880,21,0.34952370672652716,48110163,17,0.3842992967757055,21158738,15,0.40824144562415876,11238471,14,0.47632213828443004,2622533,11,-0.23261575881118748,-0.4183043365246198,-0.48369561532172767,-0.15852395834781252
4,circuit,6,0000000001001010,63,53,3,1,2,False,-0.05862996787280286,0.553073868674441,3045113,49,0.5680964891227934,15639122,53,0.6495705698686622,35764035,53,0.7365718584227902,101385376,53,0.9092141874235955,125148715,47,0.9237146551379204,50857851,43,0.9281758739998404,25551736,37,0.9487278590184127,5223503,33,-0.7785221319430294,-0.7082622110924319,-0.5079609875384921,-0.3037939177539423
4,circuit,6,0000000001001100,63,52,3,2,2,False,-0.1748717283377987,0.7366005799704239,4055574,48,0.6083089720439788,16746131,52,0.6567340563083268,36158442,52,0.7492157611161275,103125745,52,0.8610953396529611,118525400,45,0.8749246226254594,48171571,42,0.8731967594441654,24038217,36,0.8516915897916324,4689241,32,-0.20944857049748825,-0.5215024933934974,-0.4138494586762763,-0.20079173066734565
4,circuit,6,0000000001001110,63,16,4,2,3,False,0.045811295867913965,0.12343841891765735,679627,15,0.11296292065066392,3109755,16,0.1294542350246968,7127487,16,0.1895440792214623,26089780,16,0.2787780742015174,38372386,14,0.3001957736652354,16528169,14,0.3251455620533139,8950926,12,0.37163829323892617,2046165,10,-1.590107675106578,-1.5252364374009701,-1.2134615029906686,-0.5565837063829933
4,circuit,6,0000000001011100,63,17,4,2,2,False,-0.0715298764196893,0.005481312608998732,30179,16,0.023374523488675882,643477,17,0.05293660770293244,2914582,17,0.11417927934893232,15716198,17,0.3388180084029399,46636578,16,0.3988544473500084,21960115,16,0.42293821191565356,11643058,15,0.5285790594894799,2910249,12,-6.591454044704489,-4.177438052132822,-2.913524712740743,-1.569209695114111
4,circuit,6,0000000011001100,63,13,4,2,2,False,0.3020116926633543,0.40186381701617097,2212581,13,0.2965312311323892,8163205,13,0.2752754746647293,15156108,13,0.2787149314523931,38363695,13,0.13609656545191376,18733001,10,0.09167136519951781,5047239,9,0.08571584978027338,2359670,7,0.015241935000509464,83919,5,4.720588712782436,1.7905501557588603,1.5863330166505867,1.0341596339866752
4,circuit,6,0000000100011000,63,60,3,2,1,False,0.25227239298110105,0.8706812345821623,4793795,55,0.803364446111697,22115811,60,0.8437287014248093,46453987,60,0.9039644339367637,124426114,60,0.9846528445462946,135532463,52,0.9986103555185756,54981456,47,1.0,27528981,41,1.0,5505797,36,-0.19978346499651867,-0.3158734803465881,-0.24314268839825104,-0.12334915691039318
4,circuit,6,0000000101011000,63,40,4,2,2,False,0.22657449822443265,0.4641305402050711,2555409,38,0.6203096306951192,17076497,40,0.6230816513802625,34305609,40,0.6156676960447549,84743532,40,0.6028308883260575,82976610,34,0.5675940958735364,31250577,30,0.5669876048081838,15608591,25,0.5462097494695137,3007320,20,-0.23492443419349834,0.12967132777247078,0.13456165025758415,0.03039853185209844
