k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
4,toxicity,4,0000000000001110,27,0,3,1,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,toxicity,4,0000000000011100,27,7,3,1,2,False,0.3496917997192352,0.2485256950294861,5015,7,0.2543138906784281,25659,7,0.2580715499853808,52076,7,0.2622247595486731,132284,7,0.2580212896703471,130164,7,0.25257200626399984,50966,7,0.24700192273385002,24922,7,0.2689067301020914,5426,7,-0.11371084342683009,0.042087992282139476,0.031076358988187815,0.023313803641530167
4,toxicity,4,0000000001001010,27,19,3,1,2,False,-0.1914214963557482,0.5813469448436493,11731,19,0.6372069973735072,64291,19,0.6572459351104372,132625,19,0.6741141162571264,340069,19,0.7171367970345115,361774,19,0.7364263484449026,148602,19,0.7494202065452239,75615,19,0.775894538606403,15656,19,-0.41646115769316966,-0.23401276779448418,-0.164107931306954,-0.08925550942823868
4,toxicity,4,0000000001001100,27,21,3,2,2,False,-0.28075149001261673,0.6616284255909609,13351,21,0.7039496506268893,71025,21,0.7226508878085525,145823,21,0.7463149297874196,376492,21,0.7962316887029952,401675,21,0.8111532895910559,163681,21,0.8188764891276339,82623,21,0.8402715829120825,16955,21,-0.34483447609801304,-0.21817362198298088,-0.16667572647532308,-0.09340374238866787
4,toxicity,4,0000000001001110,27,5,4,2,3,False,0.024917578495571094,0.1562019921700778,3152,5,0.17171316715397195,17325,5,0.17644172873645245,35604,5,0.17942466122727307,90514,5,0.18808848890915217,94885,5,0.1883065395365433,37998,5,0.19314555293464686,19488,5,0.19878085043116264,4011,5,-0.34776592800263967,-0.16968778970836823,-0.09389130212848414,-0.0680333612968928
4,toxicity,4,0000000001011100,27,3,4,2,2,False,-0.006799987282408509,0.04945735665791169,998,3,0.06366024084444225,6423,3,0.0727889032603363,14688,3,0.08366239285742604,42205,3,0.1310523916189268,66112,3,0.1491813190080679,30103,3,0.16238181133421872,16384,3,0.20061453067697493,4048,3,-2.0201690660015568,-1.3509255226073087,-1.0352764556993201,-0.64749251541961
4,toxicity,4,0000000011001100,27,1,4,2,2,False,-0.07728403678930178,0.013528916200009912,273,1,0.01938649090638783,1956,1,0.023157853004871425,4673,1,0.027286170777928432,13765,1,0.044367355838801116,22382,1,0.052758340436497714,10646,1,0.05913893238716327,5967,1,0.06581425314699177,1328,1,-2.282353787071579,-1.6090565103166408,-1.1878976786011257,-0.7013286281332609
4,toxicity,4,0000000100011000,27,26,3,2,1,False,-0.0017664615522852097,0.9398880023787105,18966,26,0.9524357004806977,96096,26,0.9572870671840388,193170,26,0.9600866655565864,484333,26,0.9651555097428985,486892,26,0.9659642793426765,194920,26,0.9676604095224881,97635,26,0.972494796312816,19623,26,-0.04920167583406894,-0.022879138654238497,-0.013018221373434394,-0.007596772355722207
4,toxicity,4,0000000101011000,27,18,4,2,2,False,0.36824291651975133,0.6773873829228406,13669,18,0.6551761732494177,66104,18,0.6522258398624305,131612,18,0.65391065439235,329877,18,0.6791424663508236,342607,18,0.6867454952722659,138577,18,0.6921940970088605,69841,18,0.7092377837248488,14311,18,-0.06628828067750987,-0.07929374680279862,-0.07440394306611241,-0.05462071614995302
4,toxicity,4,0000000110001000,27,27,3,2,1,False,-0.041857473645765454,1.0,20179,27,1.0,100895,27,1.0,201789,27,1.0,504468,27,1.0,504470,27,1.0,201788,27,1.0,100898,27,1.0,20178,27,0.0,0.0,0.0,0.0
