k,task,size_class,iso_key,n_topo_in_size,n_topo_with_motif_in_size,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_top_10,presence_designs_top_10,n_topo_top_10,presence_rate_top_25,presence_designs_top_25,n_topo_top_25,presence_rate_bot_25,presence_designs_bot_25,n_topo_bot_25,presence_rate_bot_10,presence_designs_bot_10,n_topo_bot_10,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05,log_odds_top10_vs_bot10,log_odds_top25_vs_bot25
4,toxicity,4,0000000000001110,27,0,3,1,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,toxicity,4,0000000000011100,27,4,3,1,2,False,0.0005566895886574354,0.10570394965062689,2133,4,0.11844987363100253,11951,4,0.1253289326970251,25290,4,0.1329222071568464,67055,4,0.15802921878407042,79721,4,0.1659315717485678,33483,4,0.17033043271422624,17186,4,0.20542174645653682,4145,4,-0.9585596326870484,-0.5240595630398834,-0.4048689083852392,-0.2496091757917724
4,toxicity,4,0000000001001010,27,11,3,1,2,False,-0.2399380008847327,0.31666584072550674,6390,11,0.35791664601813766,36112,11,0.370897323441813,74843,11,0.38145531530245724,192432,11,0.4159811287093385,209850,11,0.4343469383709636,87646,11,0.44458760332216696,44858,11,0.45802359004856774,9242,11,-0.5324606549766845,-0.3128440791760322,-0.22782801152185195,-0.12500401513084575
4,toxicity,4,0000000001001100,27,17,3,2,2,False,-0.3049712152801377,0.49358243718717476,9960,17,0.5330194756925517,53779,17,0.5522055216092057,111429,17,0.5766450993918346,290899,17,0.6633694768767221,334650,17,0.6965478621127124,140555,17,0.7163571131241452,72279,17,0.7690058479532164,15517,17,-0.6397035083432073,-0.42649072087278606,-0.3350171748081734,-0.20212895763483787
4,toxicity,4,0000000001001110,27,4,4,2,3,False,-0.0872246799848481,0.13127508796273354,2649,4,0.13928341344962586,14053,4,0.14148442184658233,28550,4,0.14060554881578216,70931,4,0.1547743176006502,78079,4,0.1630473566317125,32901,4,0.17494895835398125,17652,4,0.19541084349291307,3943,4,-0.5739173633827013,-0.32891060981421816,-0.20464783815952087,-0.13851256883422502
4,toxicity,4,0000000001011100,27,3,4,2,2,False,-0.006799987282408509,0.04945735665791169,998,3,0.06366024084444225,6423,3,0.0727889032603363,14688,3,0.08366239285742604,42205,3,0.1310523916189268,66112,3,0.1491813190080679,30103,3,0.16238181133421872,16384,3,0.20061453067697493,4048,3,-2.0201690660015568,-1.3509255226073087,-1.0352764556993201,-0.64749251541961
4,toxicity,4,0000000011001100,27,1,4,2,2,False,-0.07728403678930178,0.013528916200009912,273,1,0.01938649090638783,1956,1,0.023157853004871425,4673,1,0.027286170777928432,13765,1,0.044367355838801116,22382,1,0.052758340436497714,10646,1,0.05913893238716327,5967,1,0.06581425314699177,1328,1,-2.282353787071579,-1.6090565103166408,-1.1878976786011257,-0.7013286281332609
4,toxicity,4,0000000100011000,27,14,3,2,1,False,0.08108930002195847,0.4191981763219188,8459,14,0.4620843451112543,46622,14,0.47582375649812425,96016,14,0.49486587850963787,249644,14,0.5267964398279382,265753,14,0.5270234107082681,106347,14,0.5249261630557592,52964,14,0.544057884825057,10978,14,-0.37612771401994116,-0.18395829180818132,-0.1474397455642013,-0.09020802528212787
4,toxicity,4,0000000101011000,27,11,4,2,2,False,-0.17937789948427652,0.2701323157738243,5451,11,0.31147232271173003,31426,11,0.32980489521232575,66551,11,0.35260710292823333,177879,11,0.4432533153606756,223608,11,0.476405930977065,96133,11,0.5031616087533946,50768,11,0.5493111309346813,11084,11,-1.023957287170652,-0.691917877016752,-0.5305785615296745,-0.3300698853127876
4,toxicity,4,0000000110001000,27,26,3,2,1,False,-0.45394729331397593,0.8503394618167401,17159,26,0.8978740274542841,90591,26,0.9151489922641968,184667,26,0.9355241561407265,471942,26,0.9751283525283961,491923,26,0.984776101651238,198716,26,0.9899601577831076,99885,26,0.9980672019030628,20139,26,-0.2310980676418498,-0.14085741551432024,-0.10578910847031751,-0.059817222226775324
4,toxicity,4,0000000110001010,27,4,4,2,2,False,0.5289810874991128,0.32528866643540316,6564,4,0.2592992715198969,26162,4,0.2336202667142411,47142,4,0.2055016373684753,103669,4,0.11600689832893929,58522,4,0.08092156124249213,16329,4,0.0539852127891534,5447,4,0.010407374368123699,210,4,4.966042509203084,2.2639819584009664,1.5295693748062194,0.8249392913656749
4,toxicity,4,0000000110011000,27,14,4,2,2,False,0.06307393847966603,0.41761236929481144,8427,14,0.4434213786609842,44739,14,0.4588604928910892,92593,14,0.4799511564658214,242120,14,0.5402402521458164,272535,14,0.5551469859456459,112022,14,0.5657892128684414,57087,14,0.5935176925364258,11976,14,-0.5071265928553692,-0.35158634260423627,-0.2748142050647755,-0.17071354245243586
4,toxicity,4,0000000111001000,27,7,4,2,2,False,-0.29252215945897925,0.13246444323306408,2673,7,0.1819911789484117,18362,7,0.1985192453503412,40059,7,0.2189514498441923,110454,7,0.2800781017701746,141291,7,0.2992744860943168,60390,7,0.31352454954508513,31634,7,0.34894439488551887,7041,7,-1.3973920016457553,-0.7847098879356027,-0.5921904151757155,-0.35521818603993527
4,toxicity,4,0000000111011000,27,1,5,2,3,False,0.1667767430529857,0.028247187670350365,570,1,0.029079736359581745,2934,1,0.03031384267725198,6117,1,0.03127056622025579,15775,1,0.042309750827601245,21344,1,0.04820901143774654,9728,1,0.05046680806358897,5092,1,0.06407969075230449,1293,1,-1.1817599474026572,-0.7953206519419423,-0.6693261022462719,-0.43618484676944985
4,toxicity,4,0000001110001000,27,3,4,2,2,False,-0.134644073019594,0.12364339164477922,2495,3,0.13586401704742554,13708,3,0.13479922096843733,27201,3,0.12900719173465908,65080,3,0.09428310900549092,47563,3,0.07683311197890856,15504,3,0.0623500961366925,6291,3,0.028545941123996433,576,3,2.114827602137803,1.1236997259874513,0.8110120653534193,0.45238025582391633
4,toxicity,4,0000001110001010,27,2,5,2,2,False,0.2335216853172009,0.09138212993706328,1844,2,0.08840874176123693,8920,2,0.08744777961137624,17646,2,0.0873316047796887,44056,2,0.06316728447677761,31866,2,0.04480444823279878,9041,2,0.029415845705564034,2968,2,0.0056001585885618,113,2,4.028372481369644,1.5875955144728895,0.9647797814320793,0.46732629799475855
4,toxicity,4,0000000101001000,27,24,3,1,1,True,0.25079996660902854,0.7903761336042421,15949,24,0.8272065018088112,83461,24,0.8417455857355951,169855,24,0.8594876186398345,433584,24,0.9026344480345709,455352,24,0.9151634388566218,184669,24,0.9241114789193047,93241,24,0.9329963326395084,18826,24,-0.23933202663820707,-0.15981937445414607,-0.12064516670494123,-0.07066498135367971
4,toxicity,5,0000000000001110,43,3,3,1,3,False,-0.21753305410073023,0.023747038260888042,8940,3,0.03617684996100648,68098,3,0.04234855433306957,159431,3,0.05111456444532938,481082,3,0.08360797850282427,786905,3,0.0956901857316309,360248,3,0.10795262572966449,203207,3,0.1458610027943942,54912,3,-2.6187747214288657,-1.5772596361599864,-1.1760582446005936,-0.7099061943479541
4,toxicity,5,0000000000011100,43,13,3,1,2,False,0.008638010514415768,0.3066767959029718,115454,13,0.3157168326636081,594294,13,0.3168059992567866,1192690,13,0.3132407293878199,2948171,13,0.286258342018315,2694218,13,0.26992989941119333,1016214,13,0.25715639629148757,484064,13,0.2320542516229799,87361,12,0.40225688170712737,0.29598514247864494,0.23101486642669852,0.12995407623017655
4,toxicity,5,0000000001001010,43,30,3,1,2,False,-0.2684247088250443,0.5510694136022185,207460,30,0.5983258285857571,1126267,30,0.6164729344683939,2320856,30,0.6441027777996179,6062191,30,0.7342038608599529,6910210,30,0.7640480745912127,2876437,30,0.7860996657408844,1479732,30,0.8398695241029782,316184,30,-0.6079311644397052,-0.3937808936121952,-0.3096258606246134,-0.18888978717354946
4,toxicity,5,0000000001001100,43,35,3,2,2,False,-0.40166217879428356,0.7621152395422719,286912,35,0.7808202876808099,1469788,35,0.7868167543355664,2962155,35,0.7953476249803705,7485683,35,0.8270964203496426,7784500,35,0.8349936104366498,3143528,35,0.8408284866115731,1582752,35,0.8546250942975233,321739,34,-0.16528251508157385,-0.10682100926346826,-0.08573747936002955,-0.05646996283656327
4,toxicity,5,0000000001001110,43,4,4,2,3,False,0.33551443012677185,0.10779933487042724,40583,4,0.1062977192508994,200091,4,0.1051718674338924,395944,4,0.10214157957244908,961340,4,0.08514944100734384,801413,4,0.07852137190074303,295612,4,0.0749734908934047,141128,4,0.07353878682915944,27685,4,0.551770994905591,0.5036581592336554,0.42159156332109987,0.2625013109672767
4,toxicity,5,0000000001011100,43,7,4,2,2,False,0.040006963125939425,0.10842887044848433,40820,7,0.12695791037227655,238981,7,0.1341603773760317,505078,7,0.1449225964152804,1363988,7,0.1738263534201226,1636026,7,0.1806521206151937,680107,7,0.18423935332654756,346807,7,0.18746878884792334,70576,7,-0.7899014831721363,-0.537230964593743,-0.4292555380495145,-0.26236426418386605
4,toxicity,5,0000000011001100,43,1,4,2,2,False,-0.05074699517750572,0.005928790760436478,2232,1,0.011081278647487945,20859,1,0.01355527735964277,51032,1,0.017365789763912214,163444,1,0.027269372697647568,256655,1,0.029202070903833022,109938,1,0.031033717033615033,58417,1,0.037647290075119265,14173,1,-2.666736233670427,-1.4857121438213106,-1.107216050372532,-0.6510334896928501
4,toxicity,5,0000000100011000,43,38,3,2,1,False,-0.009650607177636807,0.8833818545002496,332565,38,0.8810665737338793,1658488,38,0.8819422253849077,3320277,38,0.8826305765143854,8307176,38,0.8850283382390332,8329746,38,0.8862926002986135,3336655,38,0.8899197395626369,1675160,38,0.9029027699565435,339914,37,-0.03153343956298259,-0.014424193724583563,-0.007098917956354946,-0.003913923712506476
4,toxicity,5,0000000101011000,43,21,4,2,2,False,-0.06321392663380174,0.48405176535588684,182230,21,0.48188607516930837,907085,21,0.4814484851913801,1812525,21,0.48337062325127145,4549406,21,0.4907059097152194,4618446,21,0.4872749275977871,1834460,21,0.48297892233841133,909146,21,0.4693307266487457,176688,20,0.044556424752733824,-0.0032681170310925587,-0.017354553046579704,-0.021728850032578954
4,toxicity,5,0000000110001000,43,43,3,2,1,False,-0.5741581179504833,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
4,toxicity,5,0000000110001010,43,11,4,2,2,False,0.5174717739222087,0.34870958487839604,131278,11,0.3225167927138428,607094,11,0.3121020800147049,1174981,11,0.29533190010282795,2779616,11,0.22082268495611007,2078348,11,0.18543546116019383,698115,11,0.16050918734447814,302138,11,0.11903800588629047,44814,9,1.5506037557297845,1.0067184025671767,0.7511008126378986,0.4194488099949362
4,toxicity,5,0000000110011000,43,20,4,2,2,False,-0.03133137446877443,0.3475169204288279,130829,20,0.3927614425265252,739320,20,0.4088037584604273,1539037,20,0.43130438496710205,4059367,20,0.4829956222167374,4545878,20,0.48676625938678786,1832545,20,0.4842905653080263,911615,20,0.4727466876334775,177974,19,-0.443984126101663,-0.3022195904653209,-0.25182070970786596,-0.16330372912082985
4,toxicity,5,0000000111001000,43,20,4,2,2,False,0.04071896997546118,0.4262008988811798,160451,20,0.4433956450505853,834632,20,0.44874762698974935,1689415,20,0.4567994051746322,4299322,20,0.4668621154989762,4394032,20,0.46290640000233746,1742719,20,0.4593034745523202,864580,20,0.4549975031078339,171292,19,-0.0943249924008119,-0.05085309694875011,-0.044816199149137155,-0.03143575074489507
4,toxicity,5,0000000111011000,43,1,5,2,3,False,0.09081268696900417,0.024302198327613503,9149,1,0.020283005837340707,38180,1,0.01941598514423201,73096,1,0.01956865385910807,184177,1,0.026940106616760738,253556,1,0.03156478825988457,118833,1,0.03357784752429382,63206,1,0.035416024735170054,13333,1,-0.543315463148384,-0.7272382824736484,-0.70107116362262,-0.4612110449325773
4,toxicity,5,0000001110001000,43,6,4,2,2,False,-0.15650837188061972,0.07025563925751989,26449,6,0.09235301992600793,173842,6,0.10194454693068539,383794,6,0.11547829446278188,1086863,6,0.15223737842575114,1432834,6,0.15737105393662712,592460,6,0.15791565110403258,297256,6,0.15135947809641193,56982,6,-1.1072930823474072,-0.7739231216135576,-0.6263855960893367,-0.398700918085844
4,toxicity,5,0000001110001010,43,0,5,2,2,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,toxicity,5,0000000101001000,43,43,3,1,1,True,-0.21496184366977444,1.0,376468,43,1.0,1882364,43,1.0,3764733,43,1.0,9411838,43,1.0,9411841,43,1.0,3764733,43,1.0,1882372,43,1.0,376468,41,0.0,0.0,0.0,0.0
4,toxicity,6,0000000000001110,63,14,3,1,3,False,-0.3264303995155736,0.0982065438699668,540705,14,0.13228569814688046,3641691,14,0.14810922284474387,8154593,14,0.17195509285776767,23668745,14,0.26798110869606456,36886238,14,0.3044156439325444,16760508,14,0.3350335411906003,9223134,14,0.39907628268895495,2197233,14,-2.022773476248762,-1.3406484398138776,-1.039381020047506,-0.6400994562800388
4,toxicity,6,0000000000011100,63,21,3,1,2,False,0.15797981552925927,0.3006007852818322,1655046,21,0.31427104922320964,8651563,21,0.3206626092582529,17655032,21,0.3289457467809201,45277711,21,0.33564768925469746,46200199,21,0.33582299398895404,18489733,21,0.33486441037587034,9218478,21,0.3289988715530195,1811401,21,-0.13023385749001729,-0.09156767694823209,-0.06664487711694508,-0.029098051281859195
4,toxicity,6,0000000001001010,63,53,3,1,2,False,-0.33607479634306225,0.6792335492392196,3739720,53,0.7422199910385363,20432563,53,0.7672603215712516,42243795,53,0.7992023679479053,110006146,53,0.8739281178987798,120291765,53,0.8913144312689177,49073965,53,0.900566773488614,24791691,53,0.914129961565964,5033014,53,-0.42849156797773097,-0.27898639099471295,-0.2162183160733942,-0.12895376275817874
4,toxicity,6,0000000001001100,63,52,3,2,2,False,-0.29924856514192943,0.720368215737821,3966199,52,0.7591245009578087,20897927,52,0.774378510039119,42635708,52,0.7943405902666077,109336947,52,0.8496420343710617,116948909,52,0.8655435583424685,47655073,52,0.8753542584040597,24097616,52,0.8920285292029474,4911328,52,-0.30835532401083793,-0.20553048232469548,-0.16056750822096205,-0.09709741648994824
4,toxicity,6,0000000001001110,63,16,4,2,3,False,-0.14507398156821988,0.14373639841955582,791383,16,0.1803143850018444,4963872,16,0.19639402245295318,10813056,16,0.2170162473122873,29871184,16,0.2848807808154546,39212392,16,0.3054166978761949,16815624,16,0.3171742934093434,8731487,16,0.33476642891120034,1843156,16,-1.2197294163770187,-0.8147613513689749,-0.6370279202191506,-0.39255523835332723
4,toxicity,6,0000000001011100,63,17,4,2,2,False,-0.12059170132057646,0.1572537948205109,865807,17,0.1956633344818198,5386413,17,0.21364790989656737,11763020,17,0.23702478812875913,32625258,17,0.29833603955987653,41064440,17,0.3106713592720052,17104935,17,0.3146318460610265,8661496,17,0.31341929242941574,1725623,17,-0.9949991548152416,-0.6852912698234142,-0.5401540425368395,-0.3319003239741196
4,toxicity,6,0000000011001100,63,13,4,2,2,False,0.03764000032040036,0.14366756184484927,791004,13,0.16537627522409562,4552641,13,0.17519896166166246,9646099,13,0.18867883391555607,25970683,13,0.22009702370488518,30295237,13,0.22810333442721065,12558907,13,0.23345613843328125,6426811,13,0.24232549801600023,1334195,13,-0.7542118583772085,-0.49739924168154154,-0.3806933115467796,-0.22220704652487994
4,toxicity,6,0000000100011000,63,60,3,2,1,False,-0.027301903704603787,0.870169679432249,4790975,60,0.9011533116822142,24807836,60,0.9136951455655765,50306199,60,0.9302074787794566,128038334,60,0.9696412767695406,133466195,60,0.9792992375382079,53918230,60,0.9844494459603617,27100896,60,0.992300660558317,5463406,60,-0.1894805660693653,-0.12754455170982704,-0.10003687101902198,-0.05989857532722583
4,toxicity,6,0000000101011000,63,40,4,2,2,False,0.21266137966465787,0.6691349149641269,3684119,40,0.6551724300768808,18036232,40,0.6514203057508351,35865879,40,0.6465195373719568,88990130,40,0.6269422048190533,86295409,40,0.6192937327949529,34097057,40,0.6135353981604917,16890008,40,0.602430492806037,3316860,40,0.15150232920510004,0.09472806592631554,0.07296484524312577,0.04436151480524204
4,toxicity,6,0000000110001000,63,63,3,2,1,False,-0.2429418631677972,1.0,5505794,63,1.0,27528985,63,1.0,55057969,63,1.0,137644920,63,1.0,137644919,63,1.0,55057972,63,1.0,27528987,63,1.0,5505797,63,0.0,0.0,0.0,0.0
4,toxicity,6,0000000110001010,63,16,4,2,2,False,0.26136515683902967,0.33451451325639864,1841768,16,0.3064632422880829,8436622,16,0.2956480287167876,16277780,16,0.2803863811319735,38593761,16,0.22935132825353327,31569045,16,0.2110163447356906,11618132,16,0.19891632772393694,5475965,16,0.1786796716261061,983774,16,0.9046932966331773,0.6235523427322823,0.4865259073394941,0.2898570141775574
4,toxicity,6,0000000110011000,63,39,4,2,2,False,-0.01881670495965757,0.5796753383798958,3191573,39,0.5917504768156182,16290290,39,0.5996640740598332,33016286,39,0.6084648093078916,83752090,39,0.6295154781557901,86649607,39,0.6314035322623216,34763798,39,0.6309025101432174,17368107,39,0.6298321569066204,3467728,39,-0.11972230892282103,-0.09242812734484612,-0.0744077881706505,-0.04906802374013955
4,toxicity,6,0000000111001000,63,19,4,2,2,False,-0.03186121133886228,0.1995764825200507,1098827,19,0.22433867431000454,6175816,19,0.23758504422856572,13080950,19,0.2592311361726971,35681849,19,0.3422335989024048,47106716,19,0.37287446766110455,20529712,19,0.3969419579441844,10927410,19,0.4416922745244694,2431868,19,-1.1460998710190793,-0.8232497158476754,-0.6502459902786257,-0.400742393575901
4,toxicity,6,0000000111011000,63,0,5,2,3,False,,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,,,,
4,toxicity,6,0000001110001000,63,19,4,2,2,False,0.06490600180171084,0.2430339747545949,1338095,19,0.26439910516134174,7278639,19,0.2738989700110442,15080321,19,0.28572438416179835,39328510,19,0.31059835924637363,42752286,19,0.3135478001260199,17263306,19,0.3129097340196354,8614088,19,0.3083704321100106,1697825,19,-0.3435064316332089,-0.24302924458093503,-0.19504155672472498,-0.12042604526698102
4,toxicity,6,0000001110001010,63,4,5,2,2,False,0.43753169990192997,0.10257684904302632,564767,4,0.08647194947434494,2380485,4,0.08080256284063075,4448825,4,0.07414649229335889,10205888,4,0.054416349360487476,7490134,4,0.04848089936912315,2669260,4,0.04475740425900888,1232126,4,0.03795072720625188,208949,4,1.4345057246552304,0.9501058461277204,0.7369845896274397,0.446338270091327
4,toxicity,6,0000000101001000,63,62,3,1,1,True,0.22341366599513213,0.9813004264235095,5402838,62,0.9816140333542991,27022838,62,0.9818195800139304,54056992,62,0.9823352797909287,135213461,62,0.9859647634359827,135713040,62,0.988118814111061,54403818,62,0.9898729292145766,27250199,62,0.993036430511332,5467457,62,-0.01715175833688747,-0.012087462943030041,-0.009226587791391556,-0.005320574989088093
4,toxicity,7,0000000000001110,82,19,3,1,3,False,-0.25825688720527523,0.14265792682926828,1169795,19,0.16410296722955778,6728221,19,0.17492981341121042,14344244,19,0.1931139376953378,39588358,19,0.2698283924894791,55314821,19,0.29780795615102545,24420253,19,0.3175439512195122,13019302,19,0.35829487804878046,2938018,19,-1.3285875069461954,-0.952354963756299,-0.767606107311556,-0.48258987047691265
4,toxicity,7,0000000000011100,82,41,3,1,2,False,0.3284780507848282,0.4838931707317073,3967924,41,0.5024915856089351,20602153,41,0.508641354080066,41708589,41,0.5121126143978026,104983088,41,0.48315345382289315,99046459,41,0.4678355007845,38362512,41,0.45932926829268295,18832500,41,0.44629219512195123,3659596,41,0.11670000178177638,0.12957072359161986,0.12064742032206514,0.08397962151556757
4,toxicity,7,0000000001001010,82,74,3,1,2,False,-0.2884929351980016,0.798014268292683,6543717,74,0.8454168141870063,34662086,74,0.861374200554839,70632681,74,0.880472553551755,180496877,74,0.9214938836927425,188906248,74,0.9310123797314054,76343017,74,0.9369659268292683,38415603,74,0.9500168292682927,7790138,74,-0.2515385288880552,-0.14833377871982903,-0.11216023816682272,-0.0656965576878174
4,toxicity,7,0000000001001100,82,72,3,2,2,False,-0.2322918951000541,0.8377196341463414,6869301,72,0.8584618154596894,35196931,72,0.8640409323922406,70851353,72,0.8707643634972807,178506698,72,0.8835442694288363,181126577,72,0.8890424051453072,72901479,72,0.8936365853658537,36639100,72,0.9063873170731708,7432376,72,-0.11366018667173668,-0.05793428646575193,-0.041152574613946884,-0.02102005625461191
4,toxicity,7,0000000001001110,82,18,4,2,3,False,-0.15643573256042756,0.15160536585365852,1243164,18,0.17114157767234905,7016804,18,0.17979837462431095,14743466,18,0.1926705035576487,39497454,18,0.25032824146021226,51317290,18,0.2747075054949389,22526016,18,0.2946129512195122,12079131,18,0.3426439024390244,2809680,18,-1.1763891970471048,-0.7836305575360063,-0.6115163489714139,-0.37768533926753567
4,toxicity,7,0000000001011100,82,30,4,2,2,False,0.18993113420295948,0.2710104878048781,2222286,30,0.3048258102269083,12497857,30,0.32026696684229106,26261890,30,0.3409729055419921,69899447,30,0.3933256742114568,80631764,30,0.4021414658014277,32975601,30,0.40478143902439023,16596039,30,0.40261768292682926,3301465,30,-0.5710618533119297,-0.40915807380314484,-0.3284281011498394,-0.20606725674730106
