k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,circuit,0000000000000000010011010,1,4,1,3,False,-0.10528939266886411,1,0.0,0,0,6.807326839332621e-07,48,1,0.02162554764066595,1524866,1,0.016702700594577537,235549,1,,-14.95528876281328
5,circuit,0000000000000000010111000,2,4,1,2,False,-0.05403195558033426,3,0.00016146146665724985,2277,2,0.0009821270797447138,69252,3,0.03422676250193069,2413406,3,0.028925257667993858,407917,2,-7.484996098993082,-5.123071314192407
5,circuit,0000000000000010000111000,1,4,2,2,False,0.04143742871097359,5,0.00032008654391340615,4514,4,0.001752631386371675,123582,5,0.04076461949185595,2874405,4,0.046551202096089685,656486,3,-7.184212584046167,-4.539723043236092
5,circuit,0000000000000010010011000,1,4,1,2,False,0.07448381146361342,14,0.037609956180620144,530392,11,0.034062119126517854,2401797,14,0.12088922309087036,8524171,9,0.12738254700424395,1796406,8,-1.7599810933349394,-1.8274455402630283
5,circuit,0000000000000010010111000,1,5,2,2,False,0.06150976404802436,1,0.003161297806988807,44582,1,0.004322014356085027,304755,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000010100010010,2,4,1,2,False,0.0010400962963260955,17,0.2804717567943581,3955335,10,0.19321373332807656,13623937,17,0.17437039910611843,12295249,10,0.19018659878248106,2682097,10,0.5604399078954981,0.14804249145880957
5,circuit,0000000000000010100011000,2,4,2,2,False,0.0774941424997592,7,0.0563220425180444,794278,5,0.055353239280658426,3903082,7,0.04506556016955295,3177674,4,0.07906533971047584,1115015,4,-0.48934573721671687,0.2966424225756004
5,circuit,0000000000000010100011010,1,5,2,3,False,0.07942045102875778,1,2.9002081626181462e-05,409,1,0.00018894586558422605,13323,1,0.0015505532946481397,109333,1,0.0001150154760343061,1622,1,-1.987599639060512,-3.036738258465783
5,circuit,0000000000000010100110000,2,4,2,2,False,-0.11961483729017998,14,0.05888230941094148,830384,7,0.05664219243575514,3993969,14,0.2035503079755689,14352790,11,0.25733273296483944,3629022,11,-2.1277288196430857,-1.8454363906400095
5,circuit,0000000000000010100111000,1,5,2,2,False,-0.07982646539842488,1,0.0,0,0,8.253883792690802e-06,582,1,0.02400618366321006,1692730,1,0.05018276966059089,707700,1,,-11.506045325051122
5,circuit,0000000000000010110010000,3,4,1,2,False,0.006439407365170489,30,0.30833311351315473,4348248,23,0.23193545349418668,16354293,30,0.26535918603305364,18711073,23,0.3322134097266787,4685023,20,-0.10762047220095786,-0.19422312568577874
5,circuit,0000000000000010110011000,1,5,2,2,False,-0.0717023231942183,1,1.4181947005467708e-07,2,1,8.546031569545495e-05,6026,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000010110110000,1,5,2,3,False,0.11266686395490694,1,0.0135775833338297,191477,1,0.011862901572010314,836480,1,0.0010170431523181171,71714,1,0.0009725969601026772,13716,1,3.803240825382078,3.5440041268657647
5,circuit,0000000000000011100001000,1,4,2,2,False,0.028324953410934803,7,0.03893724460086186,549110,5,0.04416899983066774,3114456,7,0.03809301274733132,2686024,5,0.019892997316069194,280540,5,0.9688901289907247,0.21350777008482769
5,circuit,0000000000000011100101000,1,5,2,3,False,-0.03434205605956506,1,5.247320392023052e-06,74,1,0.0005984916665555749,42201,1,0.009402891120378247,663019,1,0.010391811351928211,146550,1,-10.951578644620305,-3.973701348283148
5,circuit,0000000000000110100010000,2,4,1,2,False,0.06416690048503228,10,0.07244103075525392,1021595,8,0.06808484084895308,4800816,10,0.08654267998174331,6102319,7,0.12428755287201869,1752759,6,-0.7788028413638266,-0.34607818098845455
5,circuit,0000000000000110100011000,1,5,2,2,False,-0.14881023283610859,8,4.6162237502797386e-05,651,3,0.0007098907338950702,50056,8,0.12839621666300843,9053506,8,0.11591510694950168,1634687,8,-11.294067827571245,-7.498789994491325
5,circuit,0000000000000110100111000,1,6,2,2,False,0.0526081278450775,1,9.721724672248114e-05,1371,1,0.0004547010690055885,32062,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000111100011000,1,6,2,2,False,-0.00658431898669477,1,7.090973502733854e-07,10,1,0.0002604795251208797,18367,1,0.022635230369690805,1596061,1,0.022574162645497768,318351,1,-14.95832924333811,-6.441256204892659
5,circuit,0000000000010000100010010,1,4,2,2,False,-0.07559869130003259,14,0.013653385840573927,192546,7,0.01401183283587847,988006,14,0.13258415569754411,9348807,14,0.11040251871128776,1556946,11,-3.015442418026136,-3.242190791486697
5,circuit,0000000000010000100010110,1,5,2,3,False,-0.10528939266886411,1,0.0,0,0,6.807326839332621e-07,48,1,0.02162554764066595,1524866,1,0.016702700594577537,235549,1,,-14.95528876281328
5,circuit,0000000000010000100110000,1,4,2,2,False,-0.024606254866517015,7,0.030736533744950164,433460,5,0.02792026521345366,1968721,7,0.06394514519030588,4508916,6,0.10104917939790604,1425041,6,-1.7170312238176808,-1.1955221860165481
5,circuit,0000000000010000100110100,1,5,2,2,False,0.11861324316708992,2,0.05181601249599715,730732,2,0.04711740908602277,3322355,2,0.0,0,0,0.0,0,0,,
5,circuit,0000000000010000110010010,1,5,2,2,False,-0.10350029090505034,6,3.545486751366927e-06,50,3,0.0006237496855156819,43982,6,0.07980414863806146,5627170,6,0.08485419200209893,1196652,6,-14.546714608497037,-6.99935275395714
5,circuit,0000000000010000110010100,1,5,2,2,False,-0.043864608420371105,1,0.0,0,0,0.0001432800480370364,10103,1,0.013161401219807923,928040,1,0.016362192385011114,230747,1,,-6.521331556466287
5,circuit,0000000000010000110110000,1,5,2,3,False,0.11266686395490694,1,0.0135775833338297,191477,1,0.011862901572010314,836480,1,0.0010170431523181171,71714,1,0.0009725969601026772,13716,1,3.803240825382078,3.5440041268657647
5,circuit,0000000000010001000011000,1,4,2,2,False,0.07895830869130595,1,0.006509655494979732,91802,1,0.013774356402702168,971261,1,0.002087637284126337,147204,1,0.0012396427571095803,17482,1,2.3926567732977597,2.7220419332370165
5,circuit,0000000000010001000110100,1,5,2,2,False,-0.1317445409407492,2,0.0,0,0,5.0898950054926615e-05,3589,2,0.02429872857976775,1713358,2,0.05018276966059089,707700,1,,-8.899029215436524
5,circuit,0000000000010001010010100,1,5,2,2,False,0.07577721632814804,1,0.016320584613892238,230160,1,0.031435384428183125,2216580,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000010011010011000,1,6,2,2,False,-0.07982646539842488,1,0.0,0,0,8.253883792690802e-06,582,1,0.02400618366321006,1692730,1,0.05018276966059089,707700,1,,-11.506045325051122
5,circuit,0000000001000010010010000,2,4,2,1,False,0.14403617571697921,57,0.2980873658990546,4203758,48,0.31569924152197076,22260667,57,0.26787798244812755,18888679,34,0.23457519792660142,3308085,31,0.3456847470114785,0.2369747871412184
5,circuit,0000000001000010110010000,1,5,2,2,False,-0.051832911534617505,24,0.11548933815406076,1628681,17,0.07003292760719909,4938180,24,0.2408399142112174,16982164,17,0.224648553974664,3168095,16,-0.9599101056998658,-1.7819692053781142
5,circuit,0000000001000011000000010,1,4,2,1,False,-0.01747234567287615,36,0.13753162928730894,1939531,31,0.16036548821438995,11307733,36,0.2624760699378629,18507778,26,0.3186247779641126,4493390,24,-1.2120950175790044,-0.7108222005791203
5,circuit,0000000001000011000010000,3,4,2,1,False,-0.1121683054891513,22,0.02405506396199919,339235,13,0.05143499867966223,3626798,22,0.23818353886287189,16794857,20,0.2056749713702229,2900521,19,-3.0959537020472996,-2.2112514372675682
5,circuit,0000000001000011000010010,1,5,2,2,False,0.040548520173534004,8,0.019843451159785443,279841,7,0.04171688724769281,2941552,8,0.03535007087917448,2492613,5,0.023734386578218677,334713,5,-0.25831580329160303,0.2389184058315933
5,circuit,0000000001000011010010000,1,5,2,2,False,0.03375418739104638,8,0.05257907215462634,741493,6,0.050923286248377234,3590716,8,0.045972083517007094,3241595,6,0.06727136065009981,948691,5,-0.3555037554120177,0.14756747160723813
5,circuit,0000000001000100100110000,1,5,2,2,False,0.12325206469944507,14,0.2589889434704756,3652375,13,0.21330694832359648,15040755,14,0.04944193454955606,3486262,9,0.047489620597839385,669720,8,2.4472063735173006,2.109123862409717
5,circuit,0000000001000101000010000,2,4,2,1,False,0.047458587244273924,27,0.11602931578629394,1636296,24,0.1479634605386354,10433238,27,0.20111743989331557,14181243,22,0.21830079170640562,3078576,20,-0.9118280020349327,-0.4427972429082426
5,circuit,0000000001000101000010010,2,5,2,2,False,0.036238240370612435,8,0.02627014226478319,370473,6,0.051173512237446366,3608360,8,0.03997339526072981,2818614,5,0.062274569312424435,878224,5,-1.2452191255559053,0.35635713691389437
5,circuit,0000000001000101000010100,2,5,2,2,False,0.1573468282506012,10,0.04166847486490986,587627,10,0.04840294439576891,3413001,10,0.03553782549185178,2505852,6,0.032133069076649805,453155,5,0.37489751466871796,0.4457394029957027
5,circuit,0000000001000101000010110,1,6,2,3,False,0.016949517167403182,1,2.481840725956849e-06,35,1,9.37425633499763e-05,6610,1,0.0032877124653902332,231824,1,0.005399841871447869,76151,1,-11.087290912414819,-5.132236074800525
5,circuit,0000000001000110100010000,1,5,2,2,False,-0.0861003870887466,12,0.0022418112728893077,31615,9,0.024848473159135732,1752122,12,0.08027687501500626,5660503,9,0.11763381540087006,1658925,8,-5.713494201572479,-1.6918272505780265
5,circuit,0000000001000111000000010,2,5,2,2,False,0.10270048540109532,5,0.0671281897680656,946671,5,0.0776096667444782,5472433,5,0.0,0,0,0.0,0,0,,
5,circuit,0000000001000111000010000,1,5,2,2,False,0.04649310252391375,2,4.368039677684054e-05,616,2,0.0006053982669113144,42688,2,0.008484596768428136,598268,2,0.004765625830972633,67207,2,-6.7695359125504195,-3.8088896468815383
5,circuit,0000000001000111000010010,1,6,2,2,False,-0.07551351293541136,3,4.254584101640312e-07,6,1,0.00033652303868859115,23729,3,0.03321336410642639,2341949,3,0.030221699066474265,426200,3,-16.11620713462126,-6.624914770832642
5,circuit,0000000001000111100010000,1,6,2,2,False,0.09634790465721006,2,8.84953493141185e-05,1248,2,0.0003989660805085527,28132,2,0.010409624007312546,734006,2,0.007235551269460271,102039,2,-6.353357488818785,-4.705508053698899
5,circuit,0000000001010000110010000,2,5,2,2,False,0.08030579348497992,14,0.02116449952334476,298471,12,0.027247290045731055,1921268,14,0.06144287072732569,4332475,9,0.054716662707543724,771639,9,-1.3703338660201774,-1.1731328732631523
5,circuit,0000000001010000110110000,1,6,2,3,False,0.016949517167403182,1,2.481840725956849e-06,35,1,9.37425633499763e-05,6610,1,0.0032877124653902332,231824,1,0.005399841871447869,76151,1,-11.087290912414819,-5.132236074800525
5,circuit,0000000001010001000010000,4,4,2,1,False,0.1133848202435547,55,0.48211039567915787,6798931,46,0.3783609970805077,26679089,55,0.35291360512412534,24884732,37,0.34499388404142545,4865259,34,0.48279275229259183,0.10044832941111902
5,circuit,0000000001010001000010010,2,5,2,2,False,0.08690656242107461,13,0.28353009366608717,3998465,10,0.24706462393915612,17421085,13,0.06815126546311123,4805499,6,0.05341703037415484,753311,6,2.408130190614725,1.8580761015098937
5,circuit,0000000001010001000110000,1,5,2,2,False,0.045920233796395336,7,0.020012003599945427,282218,6,0.01884597089924504,1328872,7,0.037418633463244096,2638472,5,0.03875092625749427,546483,5,-0.9533651783503876,-0.9895007508922629
5,circuit,0000000001010001010010000,1,5,2,2,False,0.18022966935426324,4,0.06161212148028894,868881,4,0.05755528187580429,4058353,4,0.0,0,0,0.0,0,0,,
5,circuit,0000000001010001010110000,1,6,2,3,False,-0.012446952913254936,1,5.055864107449238e-05,713,1,0.0003444791019320612,24290,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000001010001100010000,1,5,2,2,False,0.04825848985313488,4,0.004506030022047255,63546,3,0.008107285172819593,571663,4,0.00877656022572759,618855,3,0.013628695723083577,192198,3,-1.5967186708244674,-0.11443672825110132
5,circuit,0000000001010001100110000,1,6,2,3,False,0.016949517167403182,1,2.481840725956849e-06,35,1,9.37425633499763e-05,6610,1,0.0032877124653902332,231824,1,0.005399841871447869,76151,1,-11.087290912414819,-5.132236074800525
5,circuit,0000000001010001110010000,1,6,2,3,False,0.12411544102121828,2,0.000545224952625206,7689,2,0.0011558131876641027,81499,2,0.0015505532946481397,109333,1,0.0001150154760343061,1622,1,2.245023592010473,-0.423874878149131
5,circuit,0000000001010010110010000,2,6,2,2,False,-0.04839868949399681,4,0.0009035318437183476,12742,2,0.011125809894619745,784506,4,0.03797938709911238,2678012,2,0.026955245365167045,380135,2,-4.898846784046835,-1.7713062641025772
