k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,circuit,0000000000000000000111100,1,4,1,3,False,-0.00658431898669477,1,7.090973502733854e-07,10,1,0.0002604795251208797,18367,1,0.022635230369690805,1596061,1,0.022574162645497768,318351,1,-14.95832924333811,-6.441256204892659
5,circuit,0000000000000000010011010,2,4,1,3,False,-0.08166012545762494,3,0.016320584613892238,230160,1,0.03147229999435559,2219183,3,0.03113495926076617,2195396,2,0.0335180766462565,472687,2,-1.0382466293434733,0.0155472230918977
5,circuit,0000000000000000010011100,1,4,2,3,False,-0.05085824810518031,2,7.090973502733854e-07,10,1,0.0002967143586094106,20922,2,0.03214464198979102,2266591,2,0.039389538697176735,555489,2,-15.761469290447316,-6.759359729171452
5,circuit,0000000000000000010111000,2,4,1,2,False,-0.09280895406813983,4,0.00016146146665724985,2277,2,0.0009865092963975343,69561,4,0.05968181499926346,4208299,4,0.06530063925062667,920899,3,-8.659763402869364,-5.918814953921353
5,circuit,0000000000000000110011100,1,5,2,3,False,0.04924330313774463,2,0.01632129371124251,230170,2,0.03169586395330401,2234947,2,0.022635230369690805,1596061,1,0.022574162645497768,318351,1,-0.46791705669420547,0.4857246032739924
5,circuit,0000000000000010000111000,1,4,2,2,False,0.025340620439273306,6,0.00032171746781903493,4537,5,0.0020813685449877794,146762,6,0.049433737392208264,3485684,5,0.048808256721349835,688316,4,-7.245187143857912,-4.56989163545369
5,circuit,0000000000000010010011000,1,4,1,2,False,0.03405226089553711,16,0.037609956180620144,530392,11,0.03411873339473164,2405789,16,0.14634427558820312,10319064,10,0.16375792858687674,2309388,9,-2.122378227988394,-2.1007303193629654
5,circuit,0000000000000010010111000,1,5,2,2,False,0.06150976404802436,1,0.003161297806988807,44582,1,0.004322014356085027,304755,1,0.0,0,0,0.0,0,0,,
5,circuit,0000000000000010100010010,2,4,1,2,False,-0.010690467085558873,27,0.3037463882126464,4283564,18,0.2170347965020551,15303614,27,0.2640759905417284,18620592,18,0.2743608380104166,3869160,17,0.1467926866533392,-0.2830267754976578
5,circuit,0000000000000010100011000,2,4,2,2,False,0.0018993208518684294,13,0.05632622619241101,794337,8,0.0564828442599911,3982733,13,0.15497517317877635,10927648,10,0.19198607334186613,2707474,10,-1.7691229411013105,-1.4561524719854404
5,circuit,0000000000000010100011010,1,5,2,3,False,0.07942045102875778,1,2.9002081626181462e-05,409,1,0.00018894586558422605,13323,1,0.0015505532946481397,109333,1,0.0001150154760343061,1622,1,-1.987599639060512,-3.036738258465783
