k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
4,toxicity,0000000000001110,1,3,1,3,False,-0.1932356659203502,40,0.10722692310065055,1512162,40,0.15081795918635935,10634515,40,0.33610899768789104,23699801,40,0.37580213972946663,5299726,37,-1.8093060903996077,-1.1561209314308014
4,toxicity,0000000000011100,1,3,1,2,False,0.29362103573907183,106,0.4943732105499138,6971872,106,0.5010248785250235,35328396,106,0.5142949349735666,36264092,94,0.4986530342238012,7032223,76,-0.012435761196793257,-0.03771370278932093
4,toxicity,0000000001001010,2,3,1,2,False,-0.19961150427516686,191,0.7799875440056608,10999733,191,0.8275441012320992,58352004,191,0.9652386632177717,68061148,165,0.9730294841948239,13722087,136,-0.319032436335014,-0.22204950709240295
4,toxicity,0000000001001100,1,3,2,2,False,-0.18505133028065407,188,0.8179304627062239,11534821,188,0.8427367927610999,59423275,188,0.9283319970170288,65458776,161,0.9370805911063457,13215120,133,-0.19619493233150126,-0.13955873230471397
4,toxicity,0000000001001110,1,4,2,3,False,-0.033634608650310434,44,0.14624334344245363,2062389,44,0.17546679365356882,12372560,44,0.290844067260485,20508069,37,0.33072532073711797,4664033,35,-1.1772625452159724,-0.7290478434216595
4,toxicity,0000000001011100,1,4,2,2,False,0.09848962518125727,62,0.19965712333469504,2815654,62,0.24275669568322863,17117323,62,0.4037890268368695,28472072,57,0.4090690141001871,5768870,49,-1.0348197158865957,-0.7340906168449288
4,toxicity,0000000011001100,1,4,2,2,False,0.02915710616086676,22,0.09785408163561969,1379982,22,0.12054905232861707,8500186,22,0.13357205687159485,9418466,21,0.1375034683721686,1939134,20,-0.490764075353611,-0.14799791961290892
4,toxicity,0000000100011000,1,3,2,1,False,-0.055256391462606504,212,0.9734733979145606,13728357,212,0.9778196582809806,68948273,212,0.9880308453646237,69668276,179,0.9881861553432219,13935833,146,-0.021641288533521725,-0.014987672187023581
4,toxicity,0000000101011000,1,4,2,2,False,0.2575228721707165,150,0.6853083723697029,9664525,150,0.6975168388804562,49183488,150,0.7606123265280097,53632485,128,0.768686220686538,10840349,107,-0.1656414948142332,-0.12493327383372242
4,toxicity,0000000110001000,2,3,2,1,False,-0.15730581394387763,215,1.0,14102447,215,1.0,70512259,215,1.0,70512248,181,1.0,14102437,148,0.0,0.0
4,toxicity,0000000110001010,1,4,2,2,False,0.30592688124282685,77,0.3895540965337434,5493666,77,0.3809560122020768,26862069,77,0.38005845452551734,26798776,64,0.36631583605018053,5165946,57,0.08873561518058375,0.003403095909259218
4,toxicity,0000000110011000,1,4,2,2,False,0.11710467815057912,141,0.5869987669515794,8278119,141,0.6238932722322795,43992124,141,0.7528513627873558,53085242,122,0.766694224551402,10812257,103,-0.38529383935760503,-0.27106580616159937
4,toxicity,0000000111001000,2,4,2,2,False,0.09333079578600813,89,0.3928701877057223,5540431,89,0.3871710591487361,27300306,89,0.4048915161519173,28549811,75,0.41127019393882064,5799912,59,-0.06603382346086813,-0.06456429810611154
4,toxicity,0000000111011000,1,5,2,3,False,-0.08935010533211354,6,0.0068675315709394264,96849,6,0.007102396194681552,500806,6,0.0681756168091535,4807216,5,0.09084614240786894,1281152,4,-3.725561712034899,-3.2628781018548367
4,toxicity,0000001110001000,1,4,2,2,False,0.06957285235742258,81,0.31798488588540696,4484365,81,0.3403772526987116,24000769,81,0.4076271827271767,28742709,70,0.4167801635986745,5877616,57,-0.39032842053248024,-0.2601156358102135
4,toxicity,0000001110001010,1,5,2,2,False,0.14856401899716656,12,0.06586679602483173,928883,12,0.06372062197014565,4493085,12,0.07573231816407272,5340056,10,0.07938918642217653,1119581,10,-0.2693911372292376,-0.24914874131608028
4,toxicity,0000000101001000,2,3,1,1,True,0.05713227241174791,215,1.0,14102447,215,1.0,70512259,215,1.0,70512248,181,1.0,14102437,148,0.0,0.0
