k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
4,toxicity,0000000000001110,1,3,1,3,False,0.023385901121014525,1,0.00038149407687899836,5380,1,0.0013661596063742618,96331,1,0.013109467166611962,924378,1,0.013059728612863152,184174,1,-5.097320449323191,-3.2624111020298674
4,toxicity,0000000000011100,1,3,1,2,False,0.07402378653695012,45,0.15385989396024677,2169801,45,0.17744627923493417,12512138,45,0.2905800280257694,20489451,42,0.29964643699525123,4225745,36,-0.9616440002050364,-0.7115532242127113
4,toxicity,0000000001001010,2,3,1,2,False,0.09167925351018637,56,0.17421012112295123,2456789,56,0.2204086668106889,15541513,56,0.3797972091316675,26780355,54,0.37709617139222107,5317975,47,-1.1141040601247967,-0.7850483501218652
4,toxicity,0000000001001100,1,3,2,2,False,0.08777043762842607,31,0.1248684714078344,1760951,31,0.13495398012989485,9515910,31,0.18463103034241654,13018749,27,0.17346094153797673,2446222,25,-0.4742015950719724,-0.45217751635703846
4,toxicity,0000000001001110,1,4,2,3,False,0.16134912268042959,6,0.026609779139747877,375263,6,0.027180167352176307,1916535,6,0.016765980854843827,1182207,4,0.01016157703806796,143303,4,1.3888322158268818,0.6970174518826453
4,toxicity,0000000001011100,1,4,2,2,False,0.01570744024526394,3,0.006306706914055412,88940,3,0.007355486937384888,518652,3,0.015341930383498764,1081794,3,0.013349465769639673,188260,2,-1.0818232132572632,-1.0605872629853021
4,toxicity,0000000011001100,1,4,2,2,False,0.028018761243263413,2,0.013121127134886591,185040,2,0.014927588690641723,1052578,2,0.010808108117613836,762104,2,0.009271659926578647,130753,2,0.5009920999940124,0.4658671286793585
4,toxicity,0000000100011000,1,3,2,1,False,-0.01310092447346633,103,0.3891928826252635,5488572,103,0.47145060265336275,33243047,103,0.6698848404322608,47235086,101,0.6684146151477224,9426275,89,-0.7802579517988716,-0.506806486853115
4,toxicity,0000000101011000,1,4,2,2,False,0.1858737797128416,39,0.23006645584273425,3244500,39,0.23434498106208737,16524194,39,0.21695998119362186,15298336,37,0.20831498839526813,2937749,34,0.14328400508895223,0.11120493859166804
4,toxicity,0000000110001000,2,3,2,1,False,-0.09175484781669953,112,0.5500619147868452,7757219,112,0.6092972287272771,42962924,112,0.6958917690441524,49068893,106,0.6932888975146636,9777063,99,-0.33386264001380395,-0.19171676487727046
4,toxicity,0000000110001010,1,4,2,2,False,0.1401949057959363,36,0.15649936496836328,2207024,36,0.1671977208955963,11789489,36,0.25235387474811466,17794039,33,0.25708265883407244,3625492,31,-0.7160754952869266,-0.5938930566579095
4,toxicity,0000000110011000,1,4,2,2,False,0.14436353977843472,20,0.1345384953405604,1897322,20,0.13040912502888327,9195442,20,0.11335839129678578,7993155,18,0.10525365225882591,1484333,18,0.354148733385493,0.20215363202623354
4,toxicity,0000000111001000,2,4,2,2,False,0.1588803977523123,26,0.11007529402521421,1552331,26,0.11846615210555089,8353316,26,0.12741029047889665,8983986,23,0.11015698917853702,1553482,20,-0.0010703353409861553,-0.10500688940805315
4,toxicity,0000000111011000,1,5,2,3,False,0.004535055257708036,1,0.0003349064173047415,4723,1,0.0014780266790204524,104219,1,0.0124381228066931,877040,1,0.013990631548291972,197302,1,-5.384559257663925,-3.0730245505710534
4,toxicity,0000001110001000,1,4,2,2,False,0.03229864124738604,31,0.08556614323741121,1206692,31,0.12602496538935165,8886305,31,0.23259547759702684,16400830,31,0.24050020574458159,3391639,29,-1.490926158304511,-0.8841134883243091
4,toxicity,0000001110001010,1,5,2,2,False,0.10808581775957898,9,0.02791203540775583,393628,9,0.031939963801188104,2252159,9,0.055966659863120514,3946335,7,0.055419003112724415,781543,7,-0.9894934268136211,-0.809204971373711
4,toxicity,0000000101001000,2,3,1,1,True,0.012367365070109201,173,0.8084665732124361,11401357,173,0.8654840571764975,61027236,173,0.9638327656210876,67962015,162,0.9711405908071066,13695449,139,-0.26449204252796965,-0.15527560213648287
