k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
4,toxicity,0000000000001110,1,3,1,3,False,0.06340841815292785,5,0.019219643229292052,271044,5,0.02207960746229957,1556883,5,0.03186205324215447,2246665,5,0.029457461855706215,415422,4,-0.6160515728695167,-0.5291247157657644
4,toxicity,0000000000011100,1,3,1,2,False,0.10589239595216013,54,0.19393535036862752,2734963,54,0.22582029317767283,15923099,54,0.3385900560140984,23874746,51,0.34185942472212427,4821051,44,-0.8178273989063819,-0.5843644649387275
4,toxicity,0000000001001010,2,3,1,2,False,0.19683912964519396,82,0.31980620100894547,4510050,82,0.35028598360463814,24699456,82,0.45927063621627834,32384205,75,0.4439231318672085,6260398,62,-0.47311197352090933,-0.3908112857272993
4,toxicity,0000000001001100,1,3,2,2,False,0.20103382023689312,58,0.2821428791755076,3978905,58,0.2753263939537095,19413886,58,0.27688766921741026,19523972,52,0.25585436049102717,3608170,41,0.14110311756752228,-0.008157887429495664
4,toxicity,0000000001001110,1,4,2,3,False,0.183335774815636,8,0.03417470741070681,481947,8,0.031073235081009107,2191044,8,0.01677189472104194,1182624,5,0.01016157703806796,143303,4,1.7498046658798736,0.8896267710430852
4,toxicity,0000000001011100,1,4,2,2,False,0.028272626596012294,4,0.014165413988083062,199767,4,0.011448236256336647,807241,4,0.015341930383498764,1081794,3,0.013349465769639673,188260,2,0.08559075742610844,-0.4223546696984248
4,toxicity,0000000011001100,1,4,2,2,False,0.028018761243263413,2,0.013121127134886591,185040,2,0.014927588690641723,1052578,2,0.010808108117613836,762104,2,0.009271659926578647,130753,2,0.5009920999940124,0.4658671286793585
4,toxicity,0000000100011000,1,3,2,1,False,-0.07919949113138369,137,0.5840292113843789,8236241,137,0.6516966645473662,45952604,137,0.8124907746523696,57290551,128,0.8259423530840805,11647800,110,-0.5000005616113683,-0.31815082107364934
4,toxicity,0000000101011000,1,4,2,2,False,0.33015142705415307,65,0.3464166183358108,4885322,65,0.3428548644286095,24175471,65,0.33282056189727494,23467926,56,0.3209993421704348,4526873,50,0.10993780003822003,0.04285342433698485
4,toxicity,0000000110001000,2,3,2,1,False,-0.030633161924529632,172,0.8086804368064634,11404373,172,0.8336425585230506,58782020,172,0.8896340391813916,62730096,151,0.8854801478638054,12487428,129,-0.13089025173367652,-0.09378305859046404
4,toxicity,0000000110001010,1,4,2,2,False,0.19163394320303218,50,0.2299473275808092,3242820,50,0.23594508580415782,16637021,50,0.2967612520309947,20925303,43,0.29943789147932376,4222804,40,-0.38095336351730213,-0.3308516085282585
4,toxicity,0000000110011000,1,4,2,2,False,0.17978524536017737,21,0.13549527964898575,1910815,21,0.13306754219858422,9382893,21,0.12011440905982745,8469537,19,0.10982683347566098,1548826,19,0.3030120078709968,0.1477494836018621
4,toxicity,0000000111001000,2,4,2,2,False,0.2583665624504109,43,0.23716075656940955,3344547,43,0.22572028219943996,15916047,43,0.16938831676448607,11943951,38,0.14903197227543014,2101714,29,0.6702434346262435,0.41420168741097985
4,toxicity,0000000111011000,1,5,2,3,False,0.004535055257708036,1,0.0003349064173047415,4723,1,0.0014780266790204524,104219,1,0.0124381228066931,877040,1,0.013990631548291972,197302,1,-5.384559257663925,-3.0730245505710534
4,toxicity,0000001110001000,1,4,2,2,False,0.04959885631697161,51,0.16476842635891487,2323638,51,0.195767575677869,13804014,51,0.3113167233017447,21951642,45,0.3249173883918077,4582127,39,-0.979633139982928,-0.6692412415122936
4,toxicity,0000001110001010,1,5,2,2,False,0.10808581775957898,9,0.02791203540775583,393628,9,0.031939963801188104,2252159,9,0.055966659863120514,3946335,7,0.055419003112724415,781543,7,-0.9894934268136211,-0.809204971373711
4,toxicity,0000000101001000,2,3,1,1,True,-0.014413899647664685,210,0.9808112733910647,13831839,210,0.9859611362046988,69522347,210,0.9987985633361172,70427532,180,0.9995657488134853,14096313,147,-0.027325905405442732,-0.018662965334806263
