k,task,iso_key,n_iso_members,num_edges,max_in_deg,max_out_deg,is_linear,partial_r,n_topo_total,presence_rate_top_01,presence_designs_top_01,n_topo_top_01,presence_rate_top_05,presence_designs_top_05,n_topo_top_05,presence_rate_bot_05,presence_designs_bot_05,n_topo_bot_05,presence_rate_bot_01,presence_designs_bot_01,n_topo_bot_01,log_odds_top01_vs_bot01,log_odds_top05_vs_bot05
5,toxicity,0000000000000000000011110,1,4,1,4,False,-0.08726004213776449,1,0.0005325316946768174,7510,1,0.002021946283127874,142572,1,0.013500151065953819,951926,1,0.01847290649126814,260513,1,-5.1163996720509894,-2.73915897613698
5,toxicity,0000000000000000010011010,3,4,1,3,False,-0.2238987581985695,32,0.07080515884938267,998526,32,0.10949315919661573,7720610,32,0.299818465580618,21140874,32,0.34352325062682426,4844515,31,-2.2784813643197808,-1.4532485030677251
5,toxicity,0000000000000000010011100,1,4,2,3,False,-0.1976981935867678,29,0.07162608021146968,1010103,29,0.10538917778821978,7431229,29,0.265620832284343,18729522,29,0.3048200818057191,4298706,28,-2.089401055132198,-1.3336415727475521
5,toxicity,0000000000000000010011110,1,5,2,4,False,-0.07433429510023233,4,0.009204076427303715,129800,4,0.015803805122737595,1114362,4,0.03577262208403851,2522408,4,0.042055355397084916,593083,4,-2.19194465896296,-1.1785839081568594
5,toxicity,0000000000000000010111000,3,4,1,2,False,0.12918607417957015,26,0.08815314108253695,1243175,26,0.1192522281834709,8408744,26,0.17558426161650667,12380841,25,0.1613001355723128,2274725,25,-0.8716637692309296,-0.5581473129148883
5,toxicity,0000000000000000010111100,1,5,2,3,False,0.023385901121014525,1,0.00038149407687899836,5380,1,0.0013661596063742618,96331,1,0.013109467166611962,924378,1,0.013059728612863152,184174,1,-5.097320449323191,-3.2624111020298674
5,toxicity,0000000000000000110010100,2,4,2,2,False,-0.16669047919356494,64,0.19805534457956125,2793065,64,0.24330044510416265,17155664,64,0.46280507182241587,32633426,61,0.5022708486483577,7083243,53,-1.3425619114052891,-0.9276657152387359
5,toxicity,0000000000000000110010110,2,5,2,3,False,0.018975618624712084,12,0.04917401923226515,693474,12,0.06684633377013209,4713486,12,0.09411155066280116,6636017,12,0.10893798001012166,1536291,12,-1.147538837680609,-0.49352336422457493
5,toxicity,0000000000000000110011100,1,5,2,3,False,-0.019191602597421392,12,0.03884673347823963,547834,12,0.053537782699601216,3775070,12,0.08641500126332662,6093316,12,0.09127932994843374,1287261,11,-1.2324949100921476,-0.6907243895213706
5,toxicity,0000000000000010000111000,1,4,2,2,False,0.036599734951269315,29,0.12090958398921832,1705121,29,0.12201488254687741,8603545,29,0.15096910539570374,10645171,25,0.16174232864858748,2280961,20,-0.41976868216447294,-0.30719621523749735
5,toxicity,0000000000000010010011000,1,4,1,2,False,0.10669767661087913,39,0.10814874893697526,1525162,39,0.13948855333084706,9835653,39,0.28049990690978965,19778679,37,0.2922243155562404,4121075,33,-1.4340592513492703,-1.0078535551529266
5,toxicity,0000000000000010010111000,1,5,2,2,False,0.14694986541040916,16,0.06426239361154841,906257,16,0.07831069488214808,5521864,16,0.12268621757740585,8650881,16,0.11736950145567039,1655196,16,-0.8690109482022117,-0.6476919327004261
5,toxicity,0000000000000010100010010,2,4,1,2,False,0.15178970409885284,37,0.12109664372431253,1707759,37,0.15262994197930888,10762282,37,0.25629805477198797,18072152,36,0.24366852339067355,3436320,33,-1.008761018342286,-0.7477845202836206
5,toxicity,0000000000000010100011000,2,4,2,2,False,0.09568945364392754,60,0.23427005256605468,3303781,60,0.25697283361748485,18119735,60,0.3434703996389393,24218870,53,0.3436940012566622,4846923,46,-0.5529521295036318,-0.41856992242701485
5,toxicity,0000000000000010100011010,1,5,2,3,False,0.15642785510560875,6,0.026609779139747877,375263,6,0.027180167352176307,1916535,6,0.016765980854843827,1182207,4,0.01016157703806796,143303,4,1.3888322158268818,0.6970174518826453
5,toxicity,0000000000000010100110000,2,4,2,2,False,-0.07953696858414752,114,0.4769448167399601,6726089,114,0.556873394171076,39266401,114,0.6770812214070951,47742519,108,0.677019156334469,9547620,98,-0.5053743017813735,-0.28197954079114396
5,toxicity,0000000000000010100111000,1,5,2,2,False,0.12814770272319104,23,0.08283505692309995,1168177,23,0.10150972471325873,7157680,23,0.13343819360290426,9409027,21,0.12229368583600125,1724639,19,-0.5620365475359289,-0.3945537184096711
5,toxicity,0000000000000010110010000,4,4,1,2,False,-0.28201953929953755,125,0.4373635298895291,6167896,125,0.5587737871226052,39400402,125,0.8453500163546055,59607530,120,0.8701039401913301,12270586,111,-0.9923548271311105,-0.5972844681297764
5,toxicity,0000000000000010110011000,1,5,2,2,False,-0.11441898232309299,11,0.024795200435782528,349673,11,0.02731496660743772,1926040,11,0.08250525497357565,5817631,10,0.10414930412381916,1468759,7,-2.0705204072513106,-1.5947943519306202
