k,task,size_class,parent_iso_key,typed_motif,n_topo_in_size,n_topo_with_motif_in_size,partial_r,presence_rate_top_01,presence_designs_top_01,presence_rate_top_05,presence_designs_top_05,presence_rate_top_10,presence_designs_top_10,presence_rate_top_25,presence_designs_top_25,presence_rate_bot_25,presence_designs_bot_25,presence_rate_bot_10,presence_designs_bot_10,presence_rate_bot_05,presence_designs_bot_05,presence_rate_bot_01,presence_designs_bot_01
3,circuit,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",27,1,0.19232440219375505,0.03394618167401754,685,0.05022201958529913,5067,0.04668335109150829,9420,0.03768105599727239,19009,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",27,1,0.10111671743179018,0.012042222112096735,243,0.048071204852713795,4850,0.04606883564189608,9296,0.037881265721914636,19110,0.054651633007445466,27570,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",27,7,-0.34440494604121086,0.03394618167401754,685,0.07111564841612814,7175,0.10120177416557227,20421,0.1820758775033649,91852,0.3299238009150233,166436,0.4779223739766488,96439,0.47486941611410105,47911,0.12498141632390108,2522
3,circuit,4,000000110,"IN(0,2)/NOR-in(1,0)/NOT-mid(1,0)|edges=011000000",27,1,0.06957354902680819,0.061697804648396845,1245,0.1002656305752686,10116,0.0850806551527616,17168,0.06219980930519296,31378,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-in(1,0)/OUT-OR2(1,0)|edges=011000000",27,1,0.16132243007615227,0.048317557857178256,975,0.061243706141220315,6179,0.05744232722947692,11591,0.03919353144184701,19772,0.05179317617767629,26128,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-mid(1,0)|edges=011000000",27,1,0.23188664709440227,0.04316368501907924,871,0.05871625104071681,5924,0.061248358401268674,12359,0.055537384705959314,28017,0.024267148758692327,12242,0.012518088290681309,2526,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",27,3,-0.22869408538300032,0.0,0,0.0022201958529913177,224,0.011175260797383353,2255,0.04932097186954255,24881,0.14188412347264842,71576,0.18352924851824687,37034,0.14933642571833528,15067,0.0629367163883245,1270
3,circuit,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-in(1,0)|edges=011000000",27,1,-0.03148255957612542,0.011695326824916993,236,0.05657534789676089,5708,0.05028123993359269,10146,0.039056754501249825,19703,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-mid(1,0)|edges=011000000",27,1,0.06957354902680819,0.061697804648396845,1245,0.1002656305752686,10116,0.0850806551527616,17168,0.06219980930519296,31378,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-out(1,0)|edges=011000000",27,2,-0.24334075902269703,0.0,0,0.02391666336280379,2413,0.047937160839507394,9673,0.09729399707812739,49082,0.02701856212881689,13630,0.0038406644597300138,775,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",27,3,-0.0030605768250130325,0.0881609594132514,1779,0.09540895214685009,9626,0.1049384245607949,21175,0.09404108462131619,47441,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000000110,"IN(0,2)/NOR-out(1,0)/NOT-in(1,0)|edges=011000000",27,2,-0.2709130611718398,0.0,0,0.0008226618562423185,83,0.004960725524692123,1001,0.02555746514665858,12893,0.17166202811674874,86598,0.08038139037009139,16220,0.09880764770598555,9969,0.2426284751474305,4896
3,circuit,4,000000110,"NOR-in(0,2)/NOR-in(1,0)/OUT-OR2(1,0)|edges=011000000",27,2,0.4057416332060558,0.12413895634075028,2505,0.1290786187210086,13023,0.15373788933766136,31022,0.14101306120668977,71137,0.059530039566434344,30031,0.07931591571352112,16005,0.002408492164966846,243,0.0,0
