k,task,size_class,parent_iso_key,typed_motif,n_topo_in_size,n_topo_with_motif_in_size,partial_r,presence_rate_top_01,presence_designs_top_01,presence_rate_top_05,presence_designs_top_05,presence_rate_top_10,presence_designs_top_10,presence_rate_top_25,presence_designs_top_25,presence_rate_bot_25,presence_designs_bot_25,presence_rate_bot_10,presence_designs_bot_10,presence_rate_bot_05,presence_designs_bot_05,presence_rate_bot_01,presence_designs_bot_01
3,circuit,4,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",27,1,-0.23086287977046988,0.0,0,0.0,0,0.001357880912852789,274,0.008678397767166002,4378,0.10007572333626712,50485,0.14783832537118163,29832,0.20986589753501234,21174,0.6308538579711581,12730
3,circuit,4,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",27,3,-0.3347334214380507,0.0,0,0.00026761289299448914,27,0.0076318854226032655,1540,0.03492569444031471,17619,0.28433914539673477,143440,0.4557951909925268,91974,0.5361521612004797,54094,0.06204469993557659,1252
3,circuit,4,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOT-out(1,0)|edges=011000000",27,1,0.23188664709440227,0.04316368501907924,871,0.05871625104071681,5924,0.061248358401268674,12359,0.055537384705959314,28017,0.024267148758692327,12242,0.012518088290681309,2526,0.0,0,0.0,0
3,circuit,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOR-mid(1,0)|edges=010001000",27,2,0.013407173592239245,0.012042222112096735,243,0.05544542679300638,5594,0.06380057982506132,12874,0.07566341771875885,38170,0.06461262161326388,32595,0.0,0,0.0,0,0.0,0
3,circuit,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOR-out(1,0)|edges=010001000",27,3,0.4819035985924017,0.13573517022647308,2739,0.15349086151528368,15486,0.1795425824516193,36229,0.1679244198378103,84713,0.10221064567029028,51562,0.10344024421670268,20873,0.005827956349796319,588,0.001536250557510283,31
3,circuit,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOT-mid(1,0)|edges=010001000",27,1,0.2551295584896025,0.06075623172605184,1226,0.057546683582444594,5806,0.07086750749560175,14300,0.06906442590357027,34841,0.02820595161635624,14229,0.044948163419033835,9070,0.002408492164966846,243,0.0,0
3,circuit,4,000001100,"NOR-in(0,1)/NOR-mid(1,1)/NOR-out(1,0)|edges=010001000",27,16,0.02093423866490498,0.7238217949353288,14606,0.6550668041073623,66091,0.6074286988626508,122570,0.586703695554353,295975,0.6272726912311584,316439,0.6842527801454993,138074,0.6881547778339429,69430,0.7573715248525695,15283
3,circuit,4,000001100,"NOR-in(0,1)/NOR-mid(1,1)/NOT-out(1,0)|edges=010001000",27,1,-0.03148255957612542,0.011695326824916993,236,0.05657534789676089,5708,0.05028123993359269,10146,0.039056754501249825,19703,0.0,0,0.0,0,0.0,0,0.0,0
3,circuit,4,000001100,"NOR-in(1,1)/NOR-mid(1,0)/NOT-in(0,1)|edges=010000100",27,4,0.02493025956423103,0.5045344169681352,10181,0.33500178408595327,33799,0.2578833907376663,52037,0.19687157438187725,99316,0.016823663740812102,8487,0.0,0,0.0,0,0.0,0
3,circuit,4,000001100,"NOR-mid(1,1)/NOR-out(1,0)/NOT-in(0,1)|edges=010000100",27,5,-0.2384965329631789,0.0881609594132514,1779,0.1069063949569837,10786,0.12844364050846196,25918,0.15633207855357395,78865,0.2114207442295646,106655,0.19493230519158722,39335,0.24000673981346576,24215,0.052628970712126466,1062
