k,task,size_class,parent_iso_key,typed_motif,n_topo_in_size,n_topo_with_motif_in_size,partial_r,presence_rate_top_01,presence_designs_top_01,presence_rate_top_05,presence_designs_top_05,presence_rate_top_10,presence_designs_top_10,presence_rate_top_25,presence_designs_top_25,presence_rate_bot_25,presence_designs_bot_25,presence_rate_bot_10,presence_designs_bot_10,presence_rate_bot_05,presence_designs_bot_05,presence_rate_bot_01,presence_designs_bot_01
3,toxicity,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",27,1,-0.22876901904496597,0.0151147232271173,305,0.02686951781555082,2711,0.03074498609934139,6204,0.034894185557855006,17603,0.03600015858227447,18161,0.03171645489325431,6400,0.026492100933616126,2673,0.00951531370799881,192
3,toxicity,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",27,1,-0.07400609265645364,0.0034193964022003072,69,0.011140294365429407,1124,0.01458949694978418,2944,0.021890387497323912,11043,0.04544769758360259,22927,0.052010030328859994,10495,0.05449067374972745,5498,0.06383189612449203,1288
3,toxicity,4,000000110,"IN(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",27,7,-0.16726750451491307,0.1435650924228158,2897,0.1732395064175628,17479,0.189896376908553,38319,0.21119278130624738,106540,0.2926338533510417,147625,0.32483596645984897,65548,0.3447342861107257,34783,0.3944394885518882,7959
3,toxicity,4,000000110,"IN(0,2)/NOR-in(1,0)/NOT-mid(1,0)|edges=011000000",27,1,-0.04568170555482604,0.05228207542494673,1055,0.054036374448684275,5452,0.05104341663817156,10300,0.04468469754275792,22542,0.030523123277895612,15398,0.025224493032291316,5090,0.023875597137703423,2409,0.018386361383685202,371
3,toxicity,4,000000110,"IN(0,2)/NOR-in(1,0)/OUT-OR2(1,0)|edges=011000000",27,1,-0.0712994198945397,0.025224243024926905,509,0.035066157886912135,3538,0.037702748910991186,7608,0.04036727800375842,20364,0.032870140939996434,16582,0.02796499296291157,5643,0.025847885983864893,2608,0.007780751313311528,157
3,toxicity,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-mid(1,0)|edges=011000000",27,1,0.050644978139068174,0.0562465929927152,1135,0.05495812478319045,5545,0.05301081823092438,10697,0.04942830863404617,24935,0.027759827145320833,14004,0.019892164053362936,4014,0.01198239806537295,1209,0.0006442660323124195,13
3,toxicity,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",27,3,-0.10986680901417875,0.07250111502056593,1463,0.08042023886218345,8114,0.08636744322039358,17428,0.09308419959244194,46958,0.12574384998116836,63434,0.14272900271572145,28801,0.1547206089317925,15611,0.17543859649122806,3540
3,toxicity,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-in(1,0)|edges=011000000",27,1,-0.33420948797303146,0.027256058278408248,550,0.04607760543138907,4649,0.04750506717412743,9586,0.044425018038805233,22411,0.028673657501932723,14465,0.023395841179852123,4721,0.023905330135384248,2412,0.02056695410843493,415
3,toxicity,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-mid(1,0)|edges=011000000",27,1,-0.04568170555482604,0.05228207542494673,1055,0.054036374448684275,5452,0.05104341663817156,10300,0.04468469754275792,22542,0.030523123277895612,15398,0.025224493032291316,5090,0.023875597137703423,2409,0.018386361383685202,371
3,toxicity,4,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-out(1,0)|edges=011000000",27,2,-0.09249851813946819,0.07453293027404728,1504,0.07009267059814658,7072,0.06919604140959121,13963,0.06975665453507457,35190,0.07915634229983944,39932,0.08711618133883085,17579,0.09347063370929057,9431,0.10992169689761126,2218
