k,task,size_class,parent_iso_key,typed_motif,n_topo_in_size,n_topo_with_motif_in_size,partial_r,presence_rate_top_01,presence_designs_top_01,presence_rate_top_05,presence_designs_top_05,presence_rate_top_10,presence_designs_top_10,presence_rate_top_25,presence_designs_top_25,presence_rate_bot_25,presence_designs_bot_25,presence_rate_bot_10,presence_designs_bot_10,presence_rate_bot_05,presence_designs_bot_05,presence_rate_bot_01,presence_designs_bot_01
3,toxicity,4,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",27,1,7.265737845443343e-05,0.012736012686456216,257,0.019148619852321722,1932,0.022989360173250276,4639,0.0271771450319941,13710,0.044196879893749874,22296,0.05088508731936488,10268,0.055650260659279666,5615,0.06100703736742987,1231
3,toxicity,4,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",27,3,-0.036092355117858174,0.04945735665791169,998,0.06349174884781209,6406,0.07231811446610073,14593,0.08349389852280026,42120,0.13026939163874957,65717,0.14603940769520488,29469,0.1583480346488533,15977,0.2047774804242244,4132
3,toxicity,4,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOT-out(1,0)|edges=011000000",27,1,0.050644978139068174,0.0562465929927152,1135,0.05495812478319045,5545,0.05301081823092438,10697,0.04942830863404617,24935,0.027759827145320833,14004,0.019892164053362936,4014,0.01198239806537295,1209,0.0006442660323124195,13
3,toxicity,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOR-mid(1,0)|edges=010001000",27,2,-0.09028758917528197,0.018484563159720503,373,0.031656672778631254,3194,0.03822805009192771,7714,0.049329194319560406,24885,0.08936904077546733,45084,0.10135885186433287,20453,0.11006164641519157,11105,0.13658439885023294,2756
3,toxicity,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOR-out(1,0)|edges=010001000",27,3,0.4836118412356984,0.17562812825214333,3544,0.15717329897418109,15858,0.14876925897843787,30020,0.14102579350920177,71143,0.09113525085733543,45975,0.06569766289373005,13257,0.0439453705722611,4434,0.00847457627118644,171
3,toxicity,4,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOT-mid(1,0)|edges=010001000",27,1,0.48007638385328966,0.08424599831508003,1700,0.06876455721294415,6938,0.061321479367061636,12374,0.05369418872951307,27087,0.027967966380557815,14109,0.020893214660931275,4216,0.01452952486669706,1466,0.0028744176826246406,58
3,toxicity,4,000001100,"NOR-in(0,1)/NOR-mid(1,1)/NOR-out(1,0)|edges=010001000",27,16,-0.05095221671475433,0.44452153228603997,8970,0.4884285643490758,49280,0.5096462146103108,102841,0.5385277163269028,271670,0.6237219259817234,314649,0.6460096735187424,130357,0.6582687466550378,66418,0.6822777282188522,13767
3,toxicity,4,000001100,"NOR-in(0,1)/NOR-mid(1,1)/NOT-out(1,0)|edges=010001000",27,1,-0.33420948797303146,0.027256058278408248,550,0.04607760543138907,4649,0.04750506717412743,9586,0.044425018038805233,22411,0.028673657501932723,14465,0.023395841179852123,4721,0.023905330135384248,2412,0.02056695410843493,415
3,toxicity,4,000001100,"NOR-in(1,1)/NOR-mid(1,0)/NOT-in(0,1)|edges=010000100",27,4,-0.11397048525277619,0.14316864066603896,2889,0.15346647504831756,15484,0.15348210259231176,30971,0.15030884020393762,75826,0.1435566039605923,72420,0.1436804963625191,28993,0.14815952744355687,14949,0.15179898899791852,3063
3,toxicity,4,000001100,"NOR-mid(1,1)/NOR-out(1,0)/NOT-in(0,1)|edges=010000100",27,5,-0.3504967639336709,0.1099162495663809,2218,0.12748897368551465,12863,0.13843172819132857,27934,0.15347455140861263,77423,0.20656530616290364,104206,0.22544948163419035,45493,0.24015342226803307,24231,0.27792645455446524,5608
3,toxicity,4,000001100,"NOR-out(1,0)/NOT-in(0,1)/NOT-mid(1,1)|edges=000001100",27,2,0.04404930814657243,0.12815303037811587,2586,0.11215620199217008,11316,0.10523368469044397,21235,0.09597437300284656,48416,0.06043966935595774,30490,0.04913572660415882,9915,0.04112073579258261,4149,0.013777381306373277,278
3,toxicity,4,000100100,"NOR-in(0,1)/NOR-in(0,1)/NOR-mid(2,0)|edges=001001000",27,1,-0.22876901904496597,0.0151147232271173,305,0.02686951781555082,2711,0.03074498609934139,6204,0.034894185557855006,17603,0.03600015858227447,18161,0.03171645489325431,6400,0.026492100933616126,2673,0.00951531370799881,192
3,toxicity,4,000100100,"NOR-mid(0,1)/NOR-mid(0,1)/NOR-out(2,0)|edges=001001000",27,1,0.050644978139068174,0.0562465929927152,1135,0.05495812478319045,5545,0.05301081823092438,10697,0.04942830863404617,24935,0.027759827145320833,14004,0.019892164053362936,4014,0.01198239806537295,1209,0.0006442660323124195,13
3,toxicity,4,000100100,"NOR-mid(0,1)/NOR-out(2,0)/NOT-mid(0,1)|edges=010000010",27,2,-0.08440247950129345,0.07750631844987363,1564,0.08910253233559641,8990,0.08874616554916274,17908,0.08505197554651633,42906,0.06339326421789204,31980,0.05318948599520289,10733,0.04972348312156832,5017,0.02616711269699673,528
3,toxicity,4,000100110,"NOR-in(0,2)/NOR-in(1,1)/NOR-mid(2,0)|edges=011001000",27,2,0.2335216853172009,0.09138212993706328,1844,0.08840874176123693,8920,0.08744777961137624,17646,0.0873316047796887,44056,0.06316728447677761,31866,0.04480444823279878,9041,0.029415845705564034,2968,0.0056001585885618,113
3,toxicity,4,000100110,"NOR-in(0,2)/NOR-mid(1,1)/NOR-out(2,0)|edges=011001000",27,2,0.2335216853172009,0.09138212993706328,1844,0.08840874176123693,8920,0.08744777961137624,17646,0.0873316047796887,44056,0.06316728447677761,31866,0.04480444823279878,9041,0.029415845705564034,2968,0.0056001585885618,113
3,toxicity,4,000100110,"NOR-in(0,2)/NOR-out(2,0)/NOT-mid(1,1)|edges=011000010",27,1,0.48007638385328966,0.08424599831508003,1700,0.06876455721294415,6938,0.061321479367061636,12374,0.05369418872951307,27087,0.027967966380557815,14109,0.020893214660931275,4216,0.01452952486669706,1466,0.0028744176826246406,58
3,toxicity,4,000100110,"NOR-out(2,0)/NOT-in(0,2)/NOT-mid(1,1)|edges=000101100",27,1,0.5141229501261346,0.14966053818325983,3020,0.10212597254571584,10304,0.08485100773580324,17122,0.06447584385927353,32526,0.02487164747160386,12547,0.015223898348762067,3072,0.010039842216892306,1013,0.0019327980969372585,39
3,toxicity,5,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",43,1,-0.08447126237420358,0.008114899539934337,3055,0.013206797410065215,24860,0.015366826810825629,57852,0.018449531324274814,173644,0.027149204921757604,255524,0.030044361711707046,113109,0.032259829619225106,60725,0.0337638258763029,12711
3,toxicity,5,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",43,4,0.07121835746776045,0.06841750162032365,25757,0.07569418029669076,142484,0.07955092698472906,299488,0.08485834541563507,798673,0.09606887749166183,904185,0.09747411038179865,366964,0.09762151158219523,183760,0.10095147529139263,38005
3,toxicity,5,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",43,3,0.09793153889744823,0.07322534717426182,27567,0.07811560357082901,147042,0.07980512827868537,300445,0.0782016222548667,736021,0.05920945753333487,557270,0.04776354657820355,179817,0.04148436122084264,78089,0.029428796072973003,11079
3,toxicity,5,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-mid(1,0)|edges=011000000",43,1,-0.26745762657100425,0.004520968581658999,1702,0.009325507712642189,17554,0.01182341483446502,44512,0.015700333983649103,147769,0.028050410116362993,264006,0.03154539777455666,118760,0.033056165306326275,62224,0.034823676912778774,13110
3,toxicity,5,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",43,2,0.01833941751823788,0.031896469288226356,12008,0.03805693266552059,71637,0.039242623580477025,147738,0.041614719675370525,391671,0.050608271006703155,476317,0.05313364852168799,200034,0.05435801212512723,102322,0.0527534876802278,19860
3,toxicity,5,000000110,"NOR-in(1,0)/NOR-out(1,0)/NOT-in(0,2)|edges=000000110",43,2,-0.0036208095480852456,0.04262779306607733,16048,0.04704509861004567,88556,0.047513860876720874,178877,0.04748084274293714,446882,0.04369782702448968,411277,0.039710120213040344,149498,0.036322257237145474,68372,0.02876738527577377,10830
3,toxicity,5,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",43,2,-0.02082057525582541,0.03263491186501907,12286,0.03948279928855418,74321,0.04119123454438867,155074,0.04298660899178248,404583,0.049691659686983664,467690,0.05190434487651581,195406,0.052850871134929756,99485,0.05260739292582636,19805
3,toxicity,5,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOT-out(1,0)|edges=011000000",43,2,0.08217691562593957,0.10698386051404103,40276,0.08445816005830965,158981,0.07587178161107308,285637,0.06477725179715163,609673,0.033674389526979896,316938,0.02495130464763371,93935,0.01980851818875334,37287,0.012550867537214318,4725
3,toxicity,5,000000110,"NOR-out(1,0)/NOR-out(1,0)/NOT-mid(0,2)|edges=000000110",43,1,-0.13000337502332016,0.010861480922681344,4089,0.016459090802841532,30982,0.01858777235995222,69978,0.020613083225614382,194007,0.025015190970608194,235439,0.02655433997576986,99970,0.02729694236845852,51383,0.027484407705302975,10347
3,toxicity,5,000000110,"NOR-out(1,0)/NOT-in(0,2)/NOT-mid(1,0)|edges=000101000",43,1,0.11526382188594544,0.022740312589649054,8561,0.026789186363530115,50427,0.02682182242406035,100977,0.025825030137577802,243061,0.02029316049856771,190996,0.01902100361433334,71609,0.017697883308931496,33314,0.014418224125290861,5428
