k,parent_iso_key,typed_motif,partial_r,raw_r,n_topologies,score
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",0.1106211363266395,0.0159666734961768,44,circuit_log_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",0.1006455662390925,0.0201657370185138,45,circuit_log_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",0.0996397711321294,0.1315846713550778,8,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",0.0924585900945097,0.0423942527785565,22,circuit_log_max
3,000000110,"NOR-in(1,0)/NOR-in(1,0)/NOT-in(0,2)|edges=000000110",0.0792605216385227,0.0534087572918589,5,circuit_log_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOT-in(1,0)|edges=011000000",-0.0046015775109096,-0.05832365864657,29,circuit_log_max
3,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-in(1,0)|edges=011000000",-0.0149184996197462,-0.0090781901715615,17,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",-0.0486316182863385,-0.1467146675813039,31,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",-0.0526334135631514,-0.1028291522482051,18,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-mid(1,0)/OUT-OR2(1,0)|edges=011000000",-0.0590074559627748,-0.0648812185549378,13,circuit_log_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOT-mid(1,0)|edges=011000000",-0.0599412296774256,-0.043814464942174,5,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/OUT-OR2(1,0)|edges=011000000",-0.0818389940541697,-0.1058513562830041,19,circuit_log_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOT-mid(1,0)|edges=011000000",-0.1145143798060338,-0.1329327268304044,6,circuit_log_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOT-in(1,0)|edges=011000000",-0.1498644583880707,-0.1294007070535149,22,circuit_log_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",-0.1523357069772819,-0.1935339162719845,73,circuit_log_max
3,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",-0.1651601192795895,-0.1747227374017501,13,circuit_log_max
3,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",-0.2162492550650294,-0.2250297306271219,16,circuit_log_max
3,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",-0.2557633086014825,-0.2759248053997293,8,circuit_log_max
3,000001100,"NOR-mid(0,1)/NOR-out(1,1)/OUT-NOT(1,0)|edges=010001000",0.3843133766963427,0.33660391730398,61,circuit_log_max
3,000001100,"IN(0,1)/NOR-out(1,1)/OUT-NOT(1,0)|edges=010001000",0.357208219162597,0.3563387421631155,24,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-mid(1,0)/NOT-in(1,1)|edges=001000010",0.3285307245158742,0.3072447130723398,16,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-out(1,1)/OUT-NOT(1,0)|edges=010001000",0.3004062530336721,0.2752671667563431,16,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-in(1,0)/NOT-in(1,1)|edges=001000010",0.232781566649935,0.2017748212846918,12,circuit_log_max
3,000001100,"NOR-in(1,0)/NOR-in(1,1)/NOT-in(0,1)|edges=000100010",0.227064693997558,0.1754336640964986,33,circuit_log_max
3,000001100,"IN(0,1)/NOR-in(1,1)/NOT-in(1,0)|edges=010001000",0.2219939556941316,0.2147821981293395,30,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOT-in(1,0)|edges=010001000",0.2190167000514144,0.1914056989835542,18,circuit_log_max
3,000001100,"NOR-out(1,1)/NOT-mid(0,1)/OUT-NOT(1,0)|edges=001100000",0.2012197675260658,0.2111615699579679,7,circuit_log_max
3,000001100,"NOR-in(1,0)/NOT-in(0,1)/NOT-in(1,1)|edges=000001100",0.1480245020771565,0.1625135117320413,10,circuit_log_max
3,000001100,"NOR-in(1,1)/NOR-out(1,0)/NOT-in(0,1)|edges=010000100",0.1460741418985583,0.1442096715565415,17,circuit_log_max
3,000001100,"IN(0,1)/NOR-in(1,0)/NOR-in(1,1)|edges=001000010",0.1430418085476821,-0.0416459531161332,141,circuit_log_max
3,000001100,"NOR-mid(1,1)/NOR-out(1,0)/NOT-in(0,1)|edges=010000100",0.1161799906289617,0.1429017493895126,52,circuit_log_max
3,000001100,"NOR-in(0,1)/NOT-in(1,0)/NOT-in(1,1)|edges=001000010",0.1067742945314005,0.101044303415993,5,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOT-mid(1,0)|edges=010001000",0.098372469741474,0.0954639815149025,21,circuit_log_max
3,000001100,"IN(0,1)/NOR-in(1,1)/NOT-mid(1,0)|edges=010001000",0.0944273796208203,0.1224847915693494,16,circuit_log_max
3,000001100,"IN(0,1)/NOT-in(1,1)/OUT-OR2(1,0)|edges=010001000",0.0931771008980571,0.1193769559543392,5,circuit_log_max
3,000001100,"NOR-mid(0,1)/NOT-out(1,1)/OUT-OR2(1,0)|edges=010001000",0.0820868213231324,0.1055853130910944,8,circuit_log_max
3,000001100,"IN(0,1)/NOT-in(1,0)/NOT-in(1,1)|edges=001000010",0.0720036048079182,0.0943817224930564,12,circuit_log_max
3,000001100,"NOR-in(0,1)/NOR-in(1,0)/NOR-in(1,1)|edges=001000010",0.0670243623940996,-0.0744059668433784,56,circuit_log_max
