k,parent_iso_key,typed_motif,partial_r,raw_r,n_topologies,score
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/OUT-OR2(1,0)|edges=011000000",0.1824572370070149,0.0056791275068123,19,toxicity_max
3,000000110,"NOR-in(0,2)/NOR-mid(1,0)/OUT-OR2(1,0)|edges=011000000",0.166742221787625,0.0612601994275164,13,toxicity_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",0.1305878774350881,-0.0817363040203617,22,toxicity_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",0.0731175235297127,-0.1363718234027635,18,toxicity_max
3,000000110,"NOR-in(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",0.0579156853280301,-0.0704223569108163,8,toxicity_max
3,000000110,"NOR-in(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",0.0347634014599265,-0.3227717959432271,31,toxicity_max
3,000000110,"NOR-mid(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",0.004483703676868,-0.048534855341508,13,toxicity_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-in(1,0)|edges=011000000",-0.023697316816162,-0.2900708924002649,44,toxicity_max
3,000000110,"NOR-in(1,0)/NOR-in(1,0)/NOT-in(0,2)|edges=000000110",-0.0354674850305168,-0.0932588064091881,5,toxicity_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-out(1,0)|edges=011000000",-0.0434586820725611,-0.1831058827121382,73,toxicity_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOR-mid(1,0)|edges=011000000",-0.081344604537602,-0.2802807288826134,45,toxicity_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOT-mid(1,0)|edges=011000000",-0.0943310813256144,-0.1238176906840022,6,toxicity_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOR-out(1,0)|edges=011000000",-0.1226073121643413,0.0554000324592581,8,toxicity_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOT-mid(1,0)|edges=011000000",-0.1273840651921558,-0.0207967099874132,5,toxicity_max
3,000000110,"IN(0,2)/NOR-mid(1,0)/NOT-in(1,0)|edges=011000000",-0.1314381926934199,-0.0513498943790757,17,toxicity_max
3,000000110,"IN(0,2)/NOR-mid(1,0)/NOR-out(1,0)|edges=011000000",-0.1407372914811687,-0.1280651942585956,16,toxicity_max
3,000000110,"IN(0,2)/NOR-in(1,0)/NOT-in(1,0)|edges=011000000",-0.2100994931334611,-0.2843699257324105,29,toxicity_max
3,000000110,"IN(0,2)/NOR-out(1,0)/NOT-in(1,0)|edges=011000000",-0.246303066143423,-0.0793815158081299,22,toxicity_max
3,000001100,"IN(0,1)/NOR-in(1,1)/OUT-OR2(1,0)|edges=010001000",0.267627922189367,0.1059322421966202,29,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-out(1,1)/OUT-OR2(1,0)|edges=010001000",0.2443622357878518,-0.0215876622590841,33,toxicity_max
3,000001100,"IN(0,1)/NOR-in(1,1)/NOR-out(1,0)|edges=010001000",0.222714624502697,0.0046270868334844,39,toxicity_max
3,000001100,"IN(0,1)/NOR-in(1,1)/NOT-in(1,0)|edges=010001000",0.1889262990062727,0.1003079993650867,30,toxicity_max
3,000001100,"IN(0,1)/NOR-in(1,0)/NOR-in(1,1)|edges=001000010",0.1857814653718644,-0.4233595418173091,141,toxicity_max
3,000001100,"NOR-in(1,1)/NOR-out(1,0)/NOT-in(0,1)|edges=010000100",0.17626801478954,0.1026606302384741,17,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOR-out(1,0)|edges=010001000",0.1492204866139508,-0.103582207593292,23,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-mid(1,0)/NOT-in(1,1)|edges=001000010",0.1461133794907876,0.0444915136872577,16,toxicity_max
3,000001100,"NOR-in(1,0)/NOT-in(0,1)/NOT-in(1,1)|edges=000001100",0.1226437198801051,0.1295417890299769,10,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-in(1,1)/OUT-OR2(1,0)|edges=010001000",0.1157634981701601,-0.1099112870316933,10,toxicity_max
3,000001100,"IN(0,1)/NOR-out(1,0)/NOT-in(1,1)|edges=001000010",0.1138021948573077,0.1834650827427009,5,toxicity_max
3,000001100,"IN(0,1)/NOT-in(1,1)/NOT-mid(1,0)|edges=010001000",0.106581736280573,0.2321470037893866,6,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-mid(1,1)/OUT-OR2(1,0)|edges=010001000",0.1053568113430083,0.0305706015086039,14,toxicity_max
3,000001100,"NOR-out(1,1)/NOT-in(0,1)/OUT-OR2(1,0)|edges=001100000",0.1011934960065075,0.1869874853926093,7,toxicity_max
3,000001100,"IN(0,1)/NOR-in(1,1)/NOT-mid(1,0)|edges=010001000",0.0974712862305727,0.1554446740525641,16,toxicity_max
3,000001100,"NOR-in(0,1)/NOT-in(1,0)/NOT-in(1,1)|edges=001000010",0.0933682528214017,0.0421562585888357,5,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-in(1,1)/NOT-in(1,0)|edges=010001000",0.0924945720312681,-0.0155095407549052,18,toxicity_max
3,000001100,"NOR-in(0,1)/NOR-mid(1,1)/NOT-out(1,0)|edges=010001000",0.0886836592761081,0.0363983518852768,6,toxicity_max
3,000001100,"IN(0,1)/NOT-out(1,1)/OUT-OR2(1,0)|edges=010001000",0.0835826665796063,0.1557609826966184,7,toxicity_max
3,000001100,"NOR-mid(0,1)/NOR-out(1,1)/OUT-OR2(1,0)|edges=010001000",0.0785849292372474,-0.0797638282974847,106,toxicity_max
3,000001100,"NOR-out(1,0)/NOT-in(0,1)/NOT-mid(1,1)|edges=000001100",0.0697716378310092,0.1617488337593855,10,toxicity_max
