topology_id,source,regulator_count,qc_tier,n_designs_total,best_perm,n_top_01_circuit_S,n_top_05_circuit_S,n_top_10_circuit_S,n_top_25_circuit_S,n_bot_25_circuit_S,n_bot_10_circuit_S,n_bot_05_circuit_S,n_bot_01_circuit_S,n_top_01_toxicity_S,n_top_05_toxicity_S,n_top_10_toxicity_S,n_top_25_toxicity_S,n_bot_25_toxicity_S,n_bot_10_toxicity_S,n_bot_05_toxicity_S,n_bot_01_toxicity_S
001e156f,"[""0x03""]",4,A1,74736,1,1226,5806,14300,34841,14229,9070,243,0,1700,6938,12374,27087,14109,4216,1466,58
019e39ef,"[""0x03""]",4,A1,74736,1,1279,7217,16722,36296,15802,6935,0,0,503,3272,7054,19583,16806,5097,1836,68
0204839c,"[""0x07""]",4,A1,74736,0,0,47,539,6526,47178,10229,7004,3834,908,4415,8913,21598,15673,5084,2062,225
03b5c679,"[""0xEE""]",4,A1,74736,1,871,5924,12359,28017,12242,2526,0,0,1135,5545,10697,24935,14004,4014,1209,13
0c2c6466,"[""0xEE""]",4,A1,74736,0,1245,10116,17168,31378,0,0,0,0,1055,5452,10300,22542,15398,5090,2409,371
0dc43646,"[""0xEE""]",4,A1,74736,1,975,6179,11591,19772,26128,0,0,0,509,3538,7608,20364,16582,5643,2608,157
121452f9,"[""0xCC""]",4,A1,74736,0,9945,26636,35830,48681,1,0,0,0,1213,4799,8619,20135,17578,6868,3263,555
16db710e,"[""0x07""]",4,A2,74736,0,0,47,803,5848,0,0,0,0,1678,6901,12322,26818,14817,4831,2087,53
1b87f351,"[""0xEE""]",4,A1,74736,0,236,5708,10146,19703,0,0,0,0,550,4649,9586,22411,14465,4721,2412,415
20e11378,"[""0xEE""]",4,A1,74736,1,243,4850,9296,19110,27570,0,0,0,69,1124,2944,11043,22927,10495,5498,1288
2846df4c,"[""0x33"", ""0x0F""]",4,A1,74736,1,1779,9450,19411,34699,0,0,0,0,75,1585,4115,13423,22567,10033,5435,1300
2f0ee7b4,"[""0x03""]",4,A1,74736,1,685,5067,9420,19009,0,0,0,0,305,2711,6204,17603,18161,6400,2673,192
323dda67,"[""0x07""]",4,A1,74736,0,0,129,961,6894,0,0,0,0,1017,4575,8807,20782,18142,7207,3669,776
41ca0731,"[""0x07"", ""0x1B""]",4,A1,74736,1,0,36,462,6367,39420,5991,2965,1062,466,2384,5180,14827,19863,8801,4280,717
56f94267,"[""0x77""]",4,A1,74736,1,0,769,3348,17151,0,0,0,0,679,3498,7358,18559,19528,8170,4434,1155
5f656235,"[""0x77""]",4,A1,74736,0,0,1169,4654,25094,13630,775,0,0,489,2762,5900,15671,21162,9345,5170,1291
660178a5,"[""0x47"", ""0x1B""]",4,A1,74736,0,0,2,430,5811,53605,32569,21250,0,171,1557,3932,12720,22472,10107,5677,1524
68236200,"[""0x03""]",4,A2,74736,1,234,2463,5207,13576,21531,4868,345,31,1341,5648,10592,24473,15060,3944,1132,45
71e1aa86,"[""0x77""]",4,A1,74736,1,0,686,2713,13781,8486,0,0,0,447,2538,5408,14721,20849,9234,4840,938
7868634e,"[""0x03""]",4,A1,74736,0,1461,6483,15150,34696,7725,2554,1,0,3020,10304,17122,32526,12547,3072,1013,39
91c94c8d,"[""0x1B""]",4,A1,74736,0,0,49,781,9159,29736,15117,7999,1266,273,1956,4673,13765,22382,10646,5967,1328
9cc4c4e3,"[""0x77""]",4,A1,74736,0,0,1244,5019,23988,0,0,0,0,1015,4310,8063,19519,18770,8234,4261,927
9d8f007a,"[""0x77""]",4,A1,74736,1,0,744,3578,19060,5025,0,0,0,304,2070,4770,13842,22157,9958,5607,1468
